"Time stamp","Tablero A   (kW)","OLG02 - CDMX Santa Fe - 204 temperatures (℃)"
"2018-09-01 00:00","0.056","13.2"
"2018-09-01 00:15","0.0","13.2"
"2018-09-01 00:30","0.0","13.2"
"2018-09-01 00:45","0.0","13.2"
"2018-09-01 01:00","0.0","12.8"
"2018-09-01 01:15","0.0","12.8"
"2018-09-01 01:30","0.0","12.8"
"2018-09-01 01:45","0.0","12.8"
"2018-09-01 02:00","0.0","12.1"
"2018-09-01 02:15","0.0","12.1"
"2018-09-01 02:30","0.0","12.1"
"2018-09-01 02:45","0.0","12.1"
"2018-09-01 03:00","0.0","11.8"
"2018-09-01 03:15","0.0","11.8"
"2018-09-01 03:30","0.0","11.8"
"2018-09-01 03:45","0.0","11.8"
"2018-09-01 04:00","0.0","11.3"
"2018-09-01 04:15","0.0","11.3"
"2018-09-01 04:30","0.0","11.3"
"2018-09-01 04:45","0.0","11.3"
"2018-09-01 05:00","0.0","11.0"
"2018-09-01 05:15","0.0","11.0"
"2018-09-01 05:30","0.0","11.0"
"2018-09-01 05:45","0.0","11.0"
"2018-09-01 06:00","0.0","10.8"
"2018-09-01 06:15","0.0","10.8"
"2018-09-01 06:30","0.0","10.8"
"2018-09-01 06:45","0.0","10.8"
"2018-09-01 07:00","0.0","12.0"
"2018-09-01 07:15","0.0","12.0"
"2018-09-01 07:30","0.0","12.0"
"2018-09-01 07:45","0.0","12.0"
"2018-09-01 08:00","0.0","11.6"
"2018-09-01 08:15","0.0","11.6"
"2018-09-01 08:30","0.0","11.6"
"2018-09-01 08:45","0.0","11.6"
"2018-09-01 09:00","2.17","12.4"
"2018-09-01 09:15","2.45","12.4"
"2018-09-01 09:30","2.34","12.4"
"2018-09-01 09:45","2.26","12.4"
"2018-09-01 10:00","2.01","14.2"
"2018-09-01 10:15","2.51","14.2"
"2018-09-01 10:30","2.66","14.2"
"2018-09-01 10:45","2.62","14.2"
"2018-09-01 11:00","2.58","18.8"
"2018-09-01 11:15","2.57","18.8"
"2018-09-01 11:30","2.6","18.8"
"2018-09-01 11:45","2.75","18.8"
"2018-09-01 12:00","2.72","24.7"
"2018-09-01 12:15","4.16","24.7"
"2018-09-01 12:30","4.18","24.7"
"2018-09-01 12:45","3.99","24.7"
"2018-09-01 13:00","3.96","25.2"
"2018-09-01 13:15","4.07","25.2"
"2018-09-01 13:30","4.0","25.2"
"2018-09-01 13:45","4.16","25.2"
"2018-09-01 14:00","4.3","27.8"
"2018-09-01 14:15","4.18","27.8"
"2018-09-01 14:30","4.18","27.8"
"2018-09-01 14:45","4.27","27.8"
"2018-09-01 15:00","4.26","23.7"
"2018-09-01 15:15","4.31","23.7"
"2018-09-01 15:30","4.23","23.7"
"2018-09-01 15:45","4.31","23.7"
"2018-09-01 16:00","4.32","21.7"
"2018-09-01 16:15","4.24","21.7"
"2018-09-01 16:30","4.19","21.7"
"2018-09-01 16:45","4.4","21.7"
"2018-09-01 17:00","4.45","21.0"
"2018-09-01 17:15","4.39","21.0"
"2018-09-01 17:30","4.36","21.0"
"2018-09-01 17:45","4.24","21.0"
"2018-09-01 18:00","2.93","19.2"
"2018-09-01 18:15","3.86","19.2"
"2018-09-01 18:30","3.89","19.2"
"2018-09-01 18:45","4.08","19.2"
"2018-09-01 19:00","4.15","17.7"
"2018-09-01 19:15","3.98","17.7"
"2018-09-01 19:30","3.92","17.7"
"2018-09-01 19:45","3.87","17.7"
"2018-09-01 20:00","3.96","16.8"
"2018-09-01 20:15","3.94","16.8"
"2018-09-01 20:30","3.89","16.8"
"2018-09-01 20:45","3.91","16.8"
"2018-09-01 21:00","3.9","15.9"
"2018-09-01 21:15","2.72","15.9"
"2018-09-01 21:30","2.81","15.9"
"2018-09-01 21:45","2.77","15.9"
"2018-09-01 22:00","2.74","15.4"
"2018-09-01 22:15","2.61","15.4"
"2018-09-01 22:30","2.6","15.4"
"2018-09-01 22:45","0.6914","15.4"
"2018-09-01 23:00","0.0","14.7"
"2018-09-01 23:15","0.0","14.7"
"2018-09-01 23:30","0.0","14.7"
"2018-09-01 23:45","0.0","14.7"
"2018-09-02 00:00","0.0","14.3"
"2018-09-02 00:15","0.0","14.3"
"2018-09-02 00:30","0.0","14.3"
"2018-09-02 00:45","0.0","14.3"
"2018-09-02 01:00","0.0","13.7"
"2018-09-02 01:15","0.0","13.7"
"2018-09-02 01:30","0.0","13.7"
"2018-09-02 01:45","0.0","13.7"
"2018-09-02 02:00","0.0","13.2"
"2018-09-02 02:15","0.0","13.2"
"2018-09-02 02:30","0.0","13.2"
"2018-09-02 02:45","0.0","13.2"
"2018-09-02 03:00","0.0","13.1"
"2018-09-02 03:15","0.0","13.1"
"2018-09-02 03:30","0.0","13.1"
"2018-09-02 03:45","0.0","13.1"
"2018-09-02 04:00","0.0","12.7"
"2018-09-02 04:15","0.0","12.7"
"2018-09-02 04:30","0.0","12.7"
"2018-09-02 04:45","0.0","12.7"
"2018-09-02 05:00","0.0","13.2"
"2018-09-02 05:15","0.0","13.2"
"2018-09-02 05:30","0.0","13.2"
"2018-09-02 05:45","0.0","13.2"
"2018-09-02 06:00","0.0","12.4"
"2018-09-02 06:15","0.0","12.4"
"2018-09-02 06:30","0.0","12.4"
"2018-09-02 06:45","0.0","12.4"
"2018-09-02 07:00","0.0","12.2"
"2018-09-02 07:15","0.0","12.2"
"2018-09-02 07:30","0.0","12.2"
"2018-09-02 07:45","0.0","12.2"
"2018-09-02 08:00","0.0","13.6"
"2018-09-02 08:15","0.0","13.6"
"2018-09-02 08:30","2.29","13.6"
"2018-09-02 08:45","2.3","13.6"
"2018-09-02 09:00","2.43","15.2"
"2018-09-02 09:15","2.36","15.2"
"2018-09-02 09:30","2.34","15.2"
"2018-09-02 09:45","2.22","15.2"
"2018-09-02 10:00","2.26","17.6"
"2018-09-02 10:15","2.45","17.6"
"2018-09-02 10:30","2.46","17.6"
"2018-09-02 10:45","2.44","17.6"
"2018-09-02 11:00","2.35","21.1"
"2018-09-02 11:15","2.6","21.1"
"2018-09-02 11:30","2.53","21.1"
"2018-09-02 11:45","2.5","21.1"
"2018-09-02 12:00","3.23","26.7"
"2018-09-02 12:15","4.1","26.7"
"2018-09-02 12:30","4.17","26.7"
"2018-09-02 12:45","4.16","26.7"
"2018-09-02 13:00","4.26","25.8"
"2018-09-02 13:15","4.29","25.8"
"2018-09-02 13:30","3.17","25.8"
"2018-09-02 13:45","4.28","25.8"
"2018-09-02 14:00","4.39","26.3"
"2018-09-02 14:15","4.44","26.3"
"2018-09-02 14:30","4.39","26.3"
"2018-09-02 14:45","4.38","26.3"
"2018-09-02 15:00","4.35","28.2"
"2018-09-02 15:15","4.34","28.2"
"2018-09-02 15:30","4.36","28.2"
"2018-09-02 15:45","4.18","28.2"
