"Time stamp","Tablero A   (kW)","OLG02 - CDMX Santa Fe - 204 temperatures (℃)"
"2019-04-01 00:00","0.0","13.7"
"2019-04-01 00:15","0.0","13.7"
"2019-04-01 00:30","0.0","13.7"
"2019-04-01 00:45","0.0","13.7"
"2019-04-01 01:00","0.0","12.85"
"2019-04-01 01:15","0.0","12.85"
"2019-04-01 01:30","0.0","12.85"
"2019-04-01 01:45","0.0","12.85"
"2019-04-01 02:00","0.0","11.27"
"2019-04-01 02:15","0.0","11.27"
"2019-04-01 02:30","0.0","11.27"
"2019-04-01 02:45","0.0","11.27"
"2019-04-01 03:00","0.0","16.67"
"2019-04-01 03:15","0.0","16.67"
"2019-04-01 03:30","0.0","16.67"
"2019-04-01 03:45","0.0","16.67"
"2019-04-01 04:00","0.0","12.9"
"2019-04-01 04:15","0.0","12.9"
"2019-04-01 04:30","0.0","12.9"
"2019-04-01 04:45","0.0","12.9"
"2019-04-01 05:00","0.0","9.26"
"2019-04-01 05:15","0.0","9.26"
"2019-04-01 05:30","0.0","9.26"
"2019-04-01 05:45","0.0","9.26"
"2019-04-01 06:00","0.0","12.11"
"2019-04-01 06:15","0.0","12.11"
"2019-04-01 06:30","0.0","12.11"
"2019-04-01 06:45","0.0","12.11"
"2019-04-01 07:00","0.4916","10.69"
"2019-04-01 07:15","2.57","10.69"
"2019-04-01 07:30","3.08","10.69"
"2019-04-01 07:45","4.18","10.69"
"2019-04-01 08:00","4.19","12.63"
"2019-04-01 08:15","4.17","12.63"
"2019-04-01 08:30","4.07","12.63"
"2019-04-01 08:45","4.13","12.63"
"2019-04-01 09:00","4.01","15.28"
"2019-04-01 09:15","4.51","15.28"
"2019-04-01 09:30","4.64","15.28"
"2019-04-01 09:45","4.45","15.28"
"2019-04-01 10:00","4.53","19.06"
"2019-04-01 10:15","4.48","19.06"
"2019-04-01 10:30","4.29","19.06"
"2019-04-01 10:45","4.21","19.06"
"2019-04-01 11:00","4.17","22.33"
"2019-04-01 11:15","4.3","22.33"
"2019-04-01 11:30","4.43","22.33"
"2019-04-01 11:45","4.38","22.33"
"2019-04-01 12:00","4.39","23.48"
"2019-04-01 12:15","4.51","23.48"
"2019-04-01 12:30","4.28","23.48"
"2019-04-01 12:45","4.27","23.48"
"2019-04-01 13:00","4.35","23.21"
"2019-04-01 13:15","4.34","23.21"
"2019-04-01 13:30","4.39","23.21"
"2019-04-01 13:45","4.41","23.21"
"2019-04-01 14:00","4.4","25.06"
"2019-04-01 14:15","4.33","25.06"
"2019-04-01 14:30","4.25","25.06"
"2019-04-01 14:45","4.35","25.06"
"2019-04-01 15:00","4.5","26.09"
"2019-04-01 15:15","4.44","26.09"
"2019-04-01 15:30","4.44","26.09"
"2019-04-01 15:45","4.4","26.09"
"2019-04-01 16:00","4.32","25.87"
"2019-04-01 16:15","4.33","25.87"
"2019-04-01 16:30","4.18","25.87"
"2019-04-01 16:45","4.22","25.87"
"2019-04-01 17:00","3.85","26.12"
"2019-04-01 17:15","3.61","26.12"
"2019-04-01 17:30","3.83","26.12"
"2019-04-01 17:45","4.0","26.12"
"2019-04-01 18:00","3.8","25.93"
"2019-04-01 18:15","4.03","25.93"
"2019-04-01 18:30","4.09","25.93"
"2019-04-01 18:45","3.89","25.93"
"2019-04-01 19:00","4.0","24.87"
"2019-04-01 19:15","4.0","24.87"
"2019-04-01 19:30","3.9","24.87"
"2019-04-01 19:45","4.06","24.87"
"2019-04-01 20:00","3.93","23.63"
"2019-04-01 20:15","3.68","23.63"
"2019-04-01 20:30","3.58","23.63"
"2019-04-01 20:45","0.8916","23.63"
"2019-04-01 21:00","0.0","19.8"
"2019-04-01 21:15","0.0","19.8"
"2019-04-01 21:30","0.0","19.8"
"2019-04-01 21:45","0.0","19.8"
"2019-04-01 22:00","0.0","18.69"
"2019-04-01 22:15","0.0","18.69"
"2019-04-01 22:30","0.0","18.69"
"2019-04-01 22:45","0.0","18.69"
"2019-04-01 23:00","0.0","17.46"
"2019-04-01 23:15","0.0","17.46"
"2019-04-01 23:30","0.0","17.46"
"2019-04-01 23:45","0.0","17.46"
"2019-04-02 00:00","0.0","16.06"
"2019-04-02 00:15","0.0","16.06"
"2019-04-02 00:30","0.0","16.06"
"2019-04-02 00:45","0.0","16.06"
"2019-04-02 01:00","0.0","15.4"
"2019-04-02 01:15","0.0","15.4"
"2019-04-02 01:30","0.0","15.4"
"2019-04-02 01:45","0.0","15.4"
"2019-04-02 02:00","0.0","14.34"
"2019-04-02 02:15","0.0","14.34"
"2019-04-02 02:30","0.0","14.34"
"2019-04-02 02:45","0.0","14.34"
"2019-04-02 03:00","0.0","12.21"
"2019-04-02 03:15","0.0","12.21"
"2019-04-02 03:30","0.0","12.21"
"2019-04-02 03:45","0.0","12.21"
"2019-04-02 04:00","0.0","14.53"
"2019-04-02 04:15","0.0","14.53"
"2019-04-02 04:30","0.0","14.53"
"2019-04-02 04:45","0.0","14.53"
"2019-04-02 05:00","0.0","9.35"
"2019-04-02 05:15","0.0","9.35"
"2019-04-02 05:30","0.0","9.35"
"2019-04-02 05:45","0.0","9.35"
"2019-04-02 06:00","0.0","8.72"
"2019-04-02 06:15","0.0","8.72"
"2019-04-02 06:30","0.0","8.72"
"2019-04-02 06:45","0.0","8.72"
"2019-04-02 07:00","0.0","7.78"
"2019-04-02 07:15","2.7","7.78"
"2019-04-02 07:30","4.16","7.78"
"2019-04-02 07:45","4.2","7.78"
"2019-04-02 08:00","4.17","10.84"
"2019-04-02 08:15","4.21","10.84"
"2019-04-02 08:30","4.12","10.84"
"2019-04-02 08:45","4.03","10.84"
"2019-04-02 09:00","4.13","16.15"
"2019-04-02 09:15","4.47","16.15"
"2019-04-02 09:30","4.47","16.15"
"2019-04-02 09:45","4.47","16.15"
"2019-04-02 10:00","4.55","17.39"
"2019-04-02 10:15","4.46","17.39"
"2019-04-02 10:30","3.93","17.39"
"2019-04-02 10:45","4.1","17.39"
"2019-04-02 11:00","4.1","22.56"
"2019-04-02 11:15","4.09","22.56"
"2019-04-02 11:30","4.17","22.56"
"2019-04-02 11:45","4.29","22.56"
"2019-04-02 12:00","4.33","23.76"
"2019-04-02 12:15","4.23","23.76"
"2019-04-02 12:30","4.35","23.76"
"2019-04-02 12:45","4.31","23.76"
"2019-04-02 13:00","4.46","25.5"
"2019-04-02 13:15","4.29","25.5"
"2019-04-02 13:30","4.4","25.5"
"2019-04-02 13:45","4.39","25.5"
"2019-04-02 14:00","4.47","24.77"
"2019-04-02 14:15","4.44","24.77"
"2019-04-02 14:30","4.42","24.77"
"2019-04-02 14:45","4.33","24.77"
"2019-04-02 15:00","4.48","25.14"
"2019-04-02 15:15","4.49","25.14"
"2019-04-02 15:30","4.52","25.14"
"2019-04-02 15:45","4.52","25.14"
"2019-04-02 16:00","4.3","27.22"
"2019-04-02 16:15","4.42","27.22"
"2019-04-02 16:30","4.47","27.22"
"2019-04-02 16:45","4.25","27.22"
"2019-04-02 17:00","4.12","26.29"
"2019-04-02 17:15","3.87","26.29"
"2019-04-02 17:30","3.64","26.29"
"2019-04-02 17:45","3.71","26.29"
"2019-04-02 18:00","3.65","25.93"
"2019-04-02 18:15","3.87","25.93"
"2019-04-02 18:30","4.03","25.93"
"2019-04-02 18:45","3.98","25.93"
"2019-04-02 19:00","3.92","24.94"
"2019-04-02 19:15","4.14","24.94"
"2019-04-02 19:30","4.1","24.94"
"2019-04-02 19:45","3.97","24.94"
"2019-04-02 20:00","4.08","23.88"
"2019-04-02 20:15","4.05","23.88"
"2019-04-02 20:30","4.01","23.88"
"2019-04-02 20:45","3.82","23.88"
"2019-04-02 21:00","3.73","20.11"
"2019-04-02 21:15","3.97","20.11"
"2019-04-02 21:30","2.92","20.11"
"2019-04-02 21:45","0.0","20.11"
"2019-04-02 22:00","0.0","19.06"
"2019-04-02 22:15","0.0","19.06"
"2019-04-02 22:30","0.0","19.06"
"2019-04-02 22:45","0.0","19.06"
"2019-04-02 23:00","0.0","18.0"
"2019-04-02 23:15","0.0","18.0"
"2019-04-02 23:30","0.0","18.0"
"2019-04-02 23:45","0.0","18.0"
"2019-04-03 00:00","0.0","16.8"
"2019-04-03 00:15","0.0","16.8"
"2019-04-03 00:30","0.0","16.8"
"2019-04-03 00:45","0.0","16.8"
"2019-04-03 01:00","0.0","15.03"
"2019-04-03 01:15","0.0","15.03"
"2019-04-03 01:30","0.0","15.03"
"2019-04-03 01:45","0.0","15.03"
"2019-04-03 02:00","0.0","14.43"
"2019-04-03 02:15","0.0","14.43"
"2019-04-03 02:30","0.0","14.43"
"2019-04-03 02:45","0.0","14.43"
"2019-04-03 03:00","0.0","12.98"
"2019-04-03 03:15","0.0","12.98"
"2019-04-03 03:30","0.0","12.98"
"2019-04-03 03:45","0.0","12.98"
"2019-04-03 04:00","0.0","11.8"
"2019-04-03 04:15","0.0","11.8"
"2019-04-03 04:30","0.0","11.8"
"2019-04-03 04:45","0.0","11.8"
"2019-04-03 05:00","0.0","11.59"
