"Time stamp","Tablero A   (kW)","OLG02 - CDMX Santa Fe - 204 temperatures (℃)"
"2019-07-01 00:00","0.0","15.1"
"2019-07-01 00:15","0.0","15.1"
"2019-07-01 00:30","0.0","15.1"
"2019-07-01 00:45","0.0","15.1"
"2019-07-01 01:00","0.0","15.47"
"2019-07-01 01:15","0.0","15.47"
"2019-07-01 01:30","0.0","15.47"
"2019-07-01 01:45","0.0","15.47"
"2019-07-01 02:00","0.0","14.76"
"2019-07-01 02:15","0.0","14.76"
"2019-07-01 02:30","0.0","14.76"
"2019-07-01 02:45","0.0","14.76"
"2019-07-01 03:00","0.0","14.28"
"2019-07-01 03:15","0.0","14.28"
"2019-07-01 03:30","0.0","14.28"
"2019-07-01 03:45","0.0","14.28"
"2019-07-01 04:00","0.0","13.57"
"2019-07-01 04:15","0.0","13.57"
"2019-07-01 04:30","0.0","13.57"
"2019-07-01 04:45","0.0","13.57"
"2019-07-01 05:00","0.0","13.2"
"2019-07-01 05:15","0.0","13.2"
"2019-07-01 05:30","0.0","13.2"
"2019-07-01 05:45","0.0","13.2"
"2019-07-01 06:00","0.0","12.53"
"2019-07-01 06:15","0.1422","12.53"
"2019-07-01 06:30","2.22","12.53"
"2019-07-01 06:45","2.29","12.53"
"2019-07-01 07:00","2.14","12.51"
"2019-07-01 07:15","3.7","12.51"
"2019-07-01 07:30","3.72","12.51"
"2019-07-01 07:45","3.77","12.51"
"2019-07-01 08:00","3.78","13.94"
"2019-07-01 08:15","3.86","13.94"
"2019-07-01 08:30","3.81","13.94"
"2019-07-01 08:45","3.88","13.94"
"2019-07-01 09:00","4.11","14.63"
"2019-07-01 09:15","4.09","14.63"
"2019-07-01 09:30","4.02","14.63"
"2019-07-01 09:45","4.24","14.63"
"2019-07-01 10:00","3.69","15.38"
"2019-07-01 10:15","4.05","15.38"
"2019-07-01 10:30","3.92","15.38"
"2019-07-01 10:45","4.07","15.38"
"2019-07-01 11:00","4.08","16.43"
"2019-07-01 11:15","3.99","16.43"
"2019-07-01 11:30","3.89","16.43"
"2019-07-01 11:45","3.94","16.43"
"2019-07-01 12:00","4.02","18.23"
"2019-07-01 12:15","3.74","18.23"
"2019-07-01 12:30","4.02","18.23"
"2019-07-01 12:45","4.17","18.23"
"2019-07-01 13:00","4.15","19.24"
"2019-07-01 13:15","4.18","19.24"
"2019-07-01 13:30","4.03","19.24"
"2019-07-01 13:45","4.08","19.24"
"2019-07-01 14:00","4.17","20.05"
"2019-07-01 14:15","4.19","20.05"
"2019-07-01 14:30","4.09","20.05"
"2019-07-01 14:45","4.21","20.05"
"2019-07-01 15:00","4.3","20.9"
"2019-07-01 15:15","4.35","20.9"
"2019-07-01 15:30","4.29","20.9"
"2019-07-01 15:45","4.13","20.9"
"2019-07-01 16:00","4.25","21.19"
"2019-07-01 16:15","4.05","21.19"
"2019-07-01 16:30","4.21","21.19"
"2019-07-01 16:45","4.21","21.19"
"2019-07-01 17:00","4.21","19.14"
"2019-07-01 17:15","4.21","19.14"
"2019-07-01 17:30","4.12","19.14"
"2019-07-01 17:45","4.06","19.14"
"2019-07-01 18:00","3.82","19.99"
"2019-07-01 18:15","3.68","19.99"
"2019-07-01 18:30","3.84","19.99"
"2019-07-01 18:45","3.91","19.99"
