"Time stamp","Tablero A   (kW)","OLG02 - CDMX Santa Fe - 204 temperatures (℃)"
"2018-06-01 00:00","0.3882","17.1"
"2018-06-01 00:15","0.2593","17.1"
"2018-06-01 00:30","0.0","17.1"
"2018-06-01 00:45","0.0","17.1"
"2018-06-01 01:00","0.0","16.1"
"2018-06-01 01:15","0.0","16.1"
"2018-06-01 01:30","0.0","16.1"
"2018-06-01 01:45","0.0","16.1"
"2018-06-01 02:00","0.0","15.1"
"2018-06-01 02:15","0.0","15.1"
"2018-06-01 02:30","0.0","15.1"
"2018-06-01 02:45","0.0","15.1"
"2018-06-01 03:00","0.0","14.3"
"2018-06-01 03:15","0.0","14.3"
"2018-06-01 03:30","0.0","14.3"
"2018-06-01 03:45","0.0","14.3"
"2018-06-01 04:00","0.0","14.0"
"2018-06-01 04:15","0.0","14.0"
"2018-06-01 04:30","0.0","14.0"
"2018-06-01 04:45","0.0","14.0"
"2018-06-01 05:00","0.0","13.3"
"2018-06-01 05:15","0.0","13.3"
"2018-06-01 05:30","0.0","13.3"
"2018-06-01 05:45","0.0","13.3"
"2018-06-01 06:00","0.0","12.7"
"2018-06-01 06:15","0.0","12.7"
"2018-06-01 06:30","0.0","12.7"
"2018-06-01 06:45","0.0","12.7"
"2018-06-01 07:00","0.0","12.6"
"2018-06-01 07:15","0.0","12.6"
"2018-06-01 07:30","0.0","12.6"
"2018-06-01 07:45","0.0","12.6"
"2018-06-01 08:00","0.0","14.9"
"2018-06-01 08:15","0.3823","14.9"
"2018-06-01 08:30","0.9544","14.9"
"2018-06-01 08:45","2.31","14.9"
"2018-06-01 09:00","2.35","16.9"
"2018-06-01 09:15","2.28","16.9"
"2018-06-01 09:30","2.38","16.9"
"2018-06-01 09:45","2.42","16.9"
"2018-06-01 10:00","2.29","25.6"
"2018-06-01 10:15","2.38","25.6"
"2018-06-01 10:30","2.45","25.6"
"2018-06-01 10:45","2.43","25.6"
"2018-06-01 11:00","2.3","30.6"
"2018-06-01 11:15","2.27","30.6"
"2018-06-01 11:30","2.35","30.6"
"2018-06-01 11:45","2.27","30.6"
"2018-06-01 12:00","2.41","33.4"
"2018-06-01 12:15","2.31","33.4"
"2018-06-01 12:30","2.4","33.4"
"2018-06-01 12:45","2.48","33.4"
"2018-06-01 13:00","4.07","33.9"
"2018-06-01 13:15","4.13","33.9"
"2018-06-01 13:30","3.97","33.9"
"2018-06-01 13:45","4.08","33.9"
"2018-06-01 14:00","4.05","34.6"
"2018-06-01 14:15","4.13","34.6"
"2018-06-01 14:30","4.03","34.6"
"2018-06-01 14:45","4.12","34.6"
"2018-06-01 15:00","4.09","34.4"
"2018-06-01 15:15","4.12","34.4"
"2018-06-01 15:30","4.11","34.4"
"2018-06-01 15:45","4.07","34.4"
"2018-06-01 16:00","4.13","32.3"
"2018-06-01 16:15","4.09","32.3"
"2018-06-01 16:30","4.19","32.3"
"2018-06-01 16:45","4.13","32.3"
"2018-06-01 17:00","4.19","28.2"
"2018-06-01 17:15","4.08","28.2"
"2018-06-01 17:30","4.06","28.2"
"2018-06-01 17:45","4.17","28.2"
"2018-06-01 18:00","3.87","25.3"
"2018-06-01 18:15","3.5","25.3"
"2018-06-01 18:30","3.47","25.3"
"2018-06-01 18:45","3.71","25.3"
"2018-06-01 19:00","3.72","23.0"
"2018-06-01 19:15","3.64","23.0"
"2018-06-01 19:30","3.55","23.0"
"2018-06-01 19:45","3.64","23.0"
