"Time stamp","Tablero A   (kW)","OLG02 - CDMX Santa Fe - 204 temperatures (℃)"
"2019-08-01 00:00","0.0","15.8"
"2019-08-01 00:15","0.0","15.8"
"2019-08-01 00:30","0.0","15.8"
"2019-08-01 00:45","0.0","15.8"
"2019-08-01 01:00","0.0","15.46"
"2019-08-01 01:15","0.0","15.46"
"2019-08-01 01:30","0.0","15.46"
"2019-08-01 01:45","0.0","15.46"
"2019-08-01 02:00","0.0","15.13"
"2019-08-01 02:15","0.0","15.13"
"2019-08-01 02:30","0.0","15.13"
"2019-08-01 02:45","0.0","15.13"
"2019-08-01 03:00","0.0","14.42"
"2019-08-01 03:15","0.0","14.42"
"2019-08-01 03:30","0.0","14.42"
"2019-08-01 03:45","0.0","14.42"
"2019-08-01 04:00","0.0","13.55"
"2019-08-01 04:15","0.0","13.55"
"2019-08-01 04:30","0.0","13.55"
"2019-08-01 04:45","0.0","13.55"
"2019-08-01 05:00","0.0","12.9"
"2019-08-01 05:15","0.0","12.9"
"2019-08-01 05:30","0.0","12.9"
"2019-08-01 05:45","0.0","12.9"
"2019-08-01 06:00","0.0","12.53"
"2019-08-01 06:15","0.0","12.53"
"2019-08-01 06:30","0.0","12.53"
"2019-08-01 06:45","0.442","12.53"
"2019-08-01 07:00","2.38","11.85"
"2019-08-01 07:15","2.99","11.85"
"2019-08-01 07:30","4.13","11.85"
"2019-08-01 07:45","4.1","11.85"
"2019-08-01 08:00","4.24","11.5"
"2019-08-01 08:15","4.19","11.5"
"2019-08-01 08:30","3.82","11.5"
"2019-08-01 08:45","3.96","11.5"
"2019-08-01 09:00","3.9","11.47"
"2019-08-01 09:15","3.82","11.47"
"2019-08-01 09:30","3.86","11.47"
"2019-08-01 09:45","4.05","11.47"
"2019-08-01 10:00","3.98","14.96"
"2019-08-01 10:15","3.91","14.96"
"2019-08-01 10:30","3.88","14.96"
"2019-08-01 10:45","4.06","14.96"
"2019-08-01 11:00","3.91","16.49"
"2019-08-01 11:15","3.92","16.49"
"2019-08-01 11:30","3.96","16.49"
"2019-08-01 11:45","3.93","16.49"
"2019-08-01 12:00","4.08","19.03"
"2019-08-01 12:15","4.04","19.03"
"2019-08-01 12:30","4.09","19.03"
"2019-08-01 12:45","4.01","19.03"
"2019-08-01 13:00","4.15","20.22"
"2019-08-01 13:15","4.26","20.22"
"2019-08-01 13:30","4.22","20.22"
"2019-08-01 13:45","4.25","20.22"
"2019-08-01 14:00","4.26","21.52"
"2019-08-01 14:15","4.12","21.52"
"2019-08-01 14:30","4.05","21.52"
"2019-08-01 14:45","4.19","21.52"
"2019-08-01 15:00","4.12","22.49"
"2019-08-01 15:15","4.19","22.49"
"2019-08-01 15:30","4.1","22.49"
"2019-08-01 15:45","4.37","22.49"
"2019-08-01 16:00","4.03","23.77"
"2019-08-01 16:15","4.0","23.77"
"2019-08-01 16:30","4.09","23.77"
"2019-08-01 16:45","4.08","23.77"
"2019-08-01 17:00","4.16","24.52"
"2019-08-01 17:15","4.14","24.52"
"2019-08-01 17:30","3.75","24.52"
"2019-08-01 17:45","3.94","24.52"
"2019-08-01 18:00","3.77","24.54"
"2019-08-01 18:15","3.91","24.54"
"2019-08-01 18:30","3.93","24.54"
"2019-08-01 18:45","3.91","24.54"
"2019-08-01 19:00","3.69","23.78"
"2019-08-01 19:15","4.02","23.78"
"2019-08-01 19:30","4.05","23.78"
"2019-08-01 19:45","4.07","23.78"
"2019-08-01 20:00","3.93","22.45"
"2019-08-01 20:15","4.08","22.45"
"2019-08-01 20:30","4.01","22.45"
"2019-08-01 20:45","3.99","22.45"
"2019-08-01 21:00","3.83","19.24"
"2019-08-01 21:15","2.0","19.24"
"2019-08-01 21:30","0.0","19.24"
"2019-08-01 21:45","0.0","19.24"
"2019-08-01 22:00","0.0","18.58"
"2019-08-01 22:15","0.0","18.58"
"2019-08-01 22:30","0.0","18.58"
"2019-08-01 22:45","0.0","18.58"
"2019-08-01 23:00","0.0","17.2"
"2019-08-01 23:15","0.0","17.2"
"2019-08-01 23:30","0.0","17.2"
"2019-08-01 23:45","0.0","17.2"
"2019-08-02 00:00","0.0","16.49"
"2019-08-02 00:15","0.0","16.49"
"2019-08-02 00:30","0.0","16.49"
"2019-08-02 00:45","0.0","16.49"
"2019-08-02 01:00","0.0","15.81"
"2019-08-02 01:15","0.0","15.81"
"2019-08-02 01:30","0.0","15.81"
"2019-08-02 01:45","0.0","15.81"
"2019-08-02 02:00","0.0","15.82"
"2019-08-02 02:15","0.0","15.82"
"2019-08-02 02:30","0.0","15.82"
"2019-08-02 02:45","0.0","15.82"
"2019-08-02 03:00","0.0","15.5"
"2019-08-02 03:15","0.0","15.5"
"2019-08-02 03:30","0.0","15.5"
"2019-08-02 03:45","0.0","15.5"
"2019-08-02 04:00","0.0","14.28"
"2019-08-02 04:15","0.0","14.28"
"2019-08-02 04:30","0.0","14.28"
"2019-08-02 04:45","0.0","14.28"
"2019-08-02 05:00","0.0","13.24"
"2019-08-02 05:15","0.0","13.24"
"2019-08-02 05:30","0.0","13.24"
"2019-08-02 05:45","0.0","13.24"
"2019-08-02 06:00","0.0","12.56"
"2019-08-02 06:15","0.0","12.56"
"2019-08-02 06:30","0.0","12.56"
"2019-08-02 06:45","1.88","12.56"
"2019-08-02 07:00","2.77","11.85"
"2019-08-02 07:15","4.35","11.85"
"2019-08-02 07:30","4.36","11.85"
"2019-08-02 07:45","4.04","11.85"
"2019-08-02 08:00","4.15","12.99"
"2019-08-02 08:15","4.2","12.99"
"2019-08-02 08:30","4.17","12.99"
"2019-08-02 08:45","3.97","12.99"
"2019-08-02 09:00","4.02","13.22"
"2019-08-02 09:15","4.15","13.22"
"2019-08-02 09:30","4.14","13.22"
"2019-08-02 09:45","4.1","13.22"
"2019-08-02 10:00","4.05","15.51"
"2019-08-02 10:15","3.87","15.51"
"2019-08-02 10:30","3.8","15.51"
"2019-08-02 10:45","3.83","15.51"
"2019-08-02 11:00","3.75","18.78"
"2019-08-02 11:15","3.75","18.78"
"2019-08-02 11:30","3.77","18.78"
"2019-08-02 11:45","4.06","18.78"
"2019-08-02 12:00","4.0","20.05"
"2019-08-02 12:15","3.82","20.05"
"2019-08-02 12:30","3.85","20.05"
"2019-08-02 12:45","4.05","20.05"
