"Time stamp","Tablero A   (kW)","OLG02 - CDMX Santa Fe - 204 temperatures (℃)"
"2019-10-01 00:00","0.0","14.48"
"2019-10-01 00:15","0.0","14.48"
"2019-10-01 00:30","0.0","14.48"
"2019-10-01 00:45","0.0","14.48"
"2019-10-01 01:00","0.0","14.43"
"2019-10-01 01:15","0.0","14.43"
"2019-10-01 01:30","0.0","14.43"
"2019-10-01 01:45","0.0","14.43"
"2019-10-01 02:00","0.0","14.26"
"2019-10-01 02:15","0.0","14.26"
"2019-10-01 02:30","0.0","14.26"
"2019-10-01 02:45","0.0","14.26"
"2019-10-01 03:00","0.0","13.56"
"2019-10-01 03:15","0.0","13.56"
"2019-10-01 03:30","0.0","13.56"
"2019-10-01 03:45","0.0","13.56"
"2019-10-01 04:00","0.0","12.87"
"2019-10-01 04:15","0.0","12.87"
"2019-10-01 04:30","0.0","12.87"
"2019-10-01 04:45","0.0","12.87"
"2019-10-01 05:00","0.0","12.53"
"2019-10-01 05:15","0.0","12.53"
"2019-10-01 05:30","0.0","12.53"
"2019-10-01 05:45","0.0","12.53"
"2019-10-01 06:00","0.0","12.88"
"2019-10-01 06:15","0.0","12.88"
"2019-10-01 06:30","0.0","12.88"
"2019-10-01 06:45","1.66","12.88"
"2019-10-01 07:00","2.17","12.85"
"2019-10-01 07:15","2.23","12.85"
"2019-10-01 07:30","2.64","12.85"
"2019-10-01 07:45","4.15","12.85"
"2019-10-01 08:00","4.14","14.16"
"2019-10-01 08:15","4.17","14.16"
"2019-10-01 08:30","4.19","14.16"
"2019-10-01 08:45","4.13","14.16"
"2019-10-01 09:00","4.14","14.84"
"2019-10-01 09:15","4.23","14.84"
"2019-10-01 09:30","4.13","14.84"
"2019-10-01 09:45","4.24","14.84"
"2019-10-01 10:00","4.12","15.92"
"2019-10-01 10:15","4.15","15.92"
"2019-10-01 10:30","3.86","15.92"
"2019-10-01 10:45","3.85","15.92"
"2019-10-01 11:00","3.88","17.73"
"2019-10-01 11:15","3.83","17.73"
"2019-10-01 11:30","3.74","17.73"
"2019-10-01 11:45","3.97","17.73"
"2019-10-01 12:00","3.84","18.21"
"2019-10-01 12:15","4.03","18.21"
"2019-10-01 12:30","3.93","18.21"
"2019-10-01 12:45","3.92","18.21"
"2019-10-01 13:00","3.76","20.37"
"2019-10-01 13:15","3.93","20.37"
"2019-10-01 13:30","3.92","20.37"
"2019-10-01 13:45","3.94","20.37"
"2019-10-01 14:00","3.97","22.19"
"2019-10-01 14:15","4.01","22.19"
"2019-10-01 14:30","4.03","22.19"
"2019-10-01 14:45","3.97","22.19"
"2019-10-01 15:00","4.01","22.54"
"2019-10-01 15:15","4.05","22.54"
"2019-10-01 15:30","3.88","22.54"
"2019-10-01 15:45","3.84","22.54"
"2019-10-01 16:00","3.88","23.5"
"2019-10-01 16:15","3.85","23.5"
"2019-10-01 16:30","3.84","23.5"
"2019-10-01 16:45","3.69","23.5"
"2019-10-01 17:00","3.82","23.19"
"2019-10-01 17:15","3.91","23.19"
"2019-10-01 17:30","3.7","23.19"
"2019-10-01 17:45","3.89","23.19"
"2019-10-01 18:00","3.69","22.0"
"2019-10-01 18:15","3.58","22.0"
"2019-10-01 18:30","3.59","22.0"
"2019-10-01 18:45","3.63","22.0"
"2019-10-01 19:00","3.6","20.05"
"2019-10-01 19:15","3.6","20.05"
"2019-10-01 19:30","3.56","20.05"
"2019-10-01 19:45","3.66","20.05"
"2019-10-01 20:00","3.48","19.03"
"2019-10-01 20:15","3.28","19.03"
"2019-10-01 20:30","3.48","19.03"
"2019-10-01 20:45","3.77","19.03"
"2019-10-01 21:00","3.75","15.36"
"2019-10-01 21:15","3.78","15.36"
"2019-10-01 21:30","4.22","15.36"
"2019-10-01 21:45","0.0","15.36"
"2019-10-01 22:00","0.0","14.23"
"2019-10-01 22:15","0.0","14.23"
"2019-10-01 22:30","0.0","14.23"
"2019-10-01 22:45","0.0","14.23"
"2019-10-01 23:00","0.0","12.82"
"2019-10-01 23:15","0.0","12.82"
"2019-10-01 23:30","0.0","12.82"
"2019-10-01 23:45","0.0","12.82"
"2019-10-02 00:00","0.0","13.22"
"2019-10-02 00:15","0.0","13.22"
