"Time stamp","Tablero A   (kW)","OLG02 - CDMX Santa Fe - 204 temperatures (℃)"
"2019-03-01 00:00","0.0","14.98"
"2019-03-01 00:15","0.0","14.98"
"2019-03-01 00:30","0.0","14.98"
"2019-03-01 00:45","0.0","14.98"
"2019-03-01 01:00","0.0","15.18"
"2019-03-01 01:15","0.0","15.18"
"2019-03-01 01:30","0.0","15.18"
"2019-03-01 01:45","0.0","15.18"
"2019-03-01 02:00","0.0","14.58"
"2019-03-01 02:15","0.0","14.58"
"2019-03-01 02:30","0.0","14.58"
"2019-03-01 02:45","0.0","14.58"
"2019-03-01 03:00","0.0","13.6"
"2019-03-01 03:15","0.0","13.6"
"2019-03-01 03:30","0.0","13.6"
"2019-03-01 03:45","0.0","13.6"
"2019-03-01 04:00","0.0","10.44"
"2019-03-01 04:15","0.0","10.44"
"2019-03-01 04:30","0.0","10.44"
"2019-03-01 04:45","0.0","10.44"
"2019-03-01 05:00","0.0","9.92"
"2019-03-01 05:15","0.0","9.92"
"2019-03-01 05:30","0.0","9.92"
"2019-03-01 05:45","0.0","9.92"
"2019-03-01 06:00","0.0","8.94"
"2019-03-01 06:15","0.0","8.94"
"2019-03-01 06:30","0.0","8.94"
"2019-03-01 06:45","2.13","8.94"
"2019-03-01 07:00","3.43","11.81"
"2019-03-01 07:15","3.4","11.81"
"2019-03-01 07:30","3.4","11.81"
"2019-03-01 07:45","3.56","11.81"
"2019-03-01 08:00","4.16","12.19"
"2019-03-01 08:15","4.19","12.19"
"2019-03-01 08:30","4.2","12.19"
"2019-03-01 08:45","4.16","12.19"
"2019-03-01 09:00","4.05","15.99"
"2019-03-01 09:15","4.05","15.99"
"2019-03-01 09:30","4.12","15.99"
"2019-03-01 09:45","4.16","15.99"
"2019-03-01 10:00","3.99","19.76"
"2019-03-01 10:15","4.03","19.76"
"2019-03-01 10:30","4.18","19.76"
"2019-03-01 10:45","4.3","19.76"
"2019-03-01 11:00","4.27","21.87"
"2019-03-01 11:15","4.34","21.87"
"2019-03-01 11:30","4.43","21.87"
"2019-03-01 11:45","4.6","21.87"
"2019-03-01 12:00","4.41","24.1"
"2019-03-01 12:15","4.35","24.1"
"2019-03-01 12:30","4.36","24.1"
"2019-03-01 12:45","4.41","24.1"
"2019-03-01 13:00","4.36","25.54"
"2019-03-01 13:15","4.31","25.54"
"2019-03-01 13:30","4.52","25.54"
"2019-03-01 13:45","4.31","25.54"
