"Time stamp","Tablero A   (kW)","OLG02 - CDMX Santa Fe - 204 temperatures (℃)"
"2019-05-01 00:00","0.0","14.8"
"2019-05-01 00:15","0.0","14.8"
"2019-05-01 00:30","0.0","14.8"
"2019-05-01 00:45","0.0","14.8"
"2019-05-01 01:00","0.0","14.8"
"2019-05-01 01:15","0.0","14.8"
"2019-05-01 01:30","0.0","14.8"
"2019-05-01 01:45","0.0","14.8"
"2019-05-01 02:00","0.0","14.29"
"2019-05-01 02:15","0.0","14.29"
"2019-05-01 02:30","0.0","14.29"
"2019-05-01 02:45","0.0","14.29"
"2019-05-01 03:00","0.0","12.47"
"2019-05-01 03:15","0.0","12.47"
"2019-05-01 03:30","0.0","12.47"
"2019-05-01 03:45","0.0","12.47"
"2019-05-01 04:00","0.0","11.14"
"2019-05-01 04:15","0.0","11.14"
"2019-05-01 04:30","0.0","11.14"
"2019-05-01 04:45","0.0","11.14"
"2019-05-01 05:00","0.0","11.14"
"2019-05-01 05:15","0.0","11.14"
"2019-05-01 05:30","0.0","11.14"
"2019-05-01 05:45","0.0","11.14"
"2019-05-01 06:00","0.0","10.27"
"2019-05-01 06:15","0.0","10.27"
"2019-05-01 06:30","0.0","10.27"
"2019-05-01 06:45","1.51","10.27"
"2019-05-01 07:00","2.25","9.38"
"2019-05-01 07:15","2.57","9.38"
"2019-05-01 07:30","3.35","9.38"
"2019-05-01 07:45","3.48","9.38"
"2019-05-01 08:00","3.33","12.14"
"2019-05-01 08:15","3.38","12.14"
"2019-05-01 08:30","3.46","12.14"
"2019-05-01 08:45","3.35","12.14"
"2019-05-01 09:00","3.45","14.17"
"2019-05-01 09:15","3.42","14.17"
"2019-05-01 09:30","3.53","14.17"
"2019-05-01 09:45","3.5","14.17"
"2019-05-01 10:00","3.63","17.56"
"2019-05-01 10:15","3.72","17.56"
"2019-05-01 10:30","3.76","17.56"
"2019-05-01 10:45","3.7","17.56"
"2019-05-01 11:00","3.75","20.46"
"2019-05-01 11:15","3.87","20.46"
"2019-05-01 11:30","3.83","20.46"
"2019-05-01 11:45","3.85","20.46"
"2019-05-01 12:00","3.89","23.56"
"2019-05-01 12:15","4.06","23.56"
"2019-05-01 12:30","4.11","23.56"
"2019-05-01 12:45","3.95","23.56"
"2019-05-01 13:00","4.08","25.63"
"2019-05-01 13:15","4.19","25.63"
"2019-05-01 13:30","4.17","25.63"
"2019-05-01 13:45","4.13","25.63"
"2019-05-01 14:00","4.1","26.97"
"2019-05-01 14:15","4.01","26.97"
"2019-05-01 14:30","4.11","26.97"
"2019-05-01 14:45","4.04","26.97"
"2019-05-01 15:00","4.07","28.02"
"2019-05-01 15:15","4.12","28.02"
"2019-05-01 15:30","4.14","28.02"
"2019-05-01 15:45","4.06","28.02"
"2019-05-01 16:00","4.1","28.82"
"2019-05-01 16:15","0.2687","28.82"
"2019-05-01 16:30","0.0","28.82"
"2019-05-01 16:45","0.0","28.82"
"2019-05-01 17:00","0.0","28.47"
"2019-05-01 17:15","0.0","28.47"
"2019-05-01 17:30","0.0","28.47"
"2019-05-01 17:45","0.0","28.47"
"2019-05-01 18:00","0.0","26.78"
"2019-05-01 18:15","0.0","26.78"
"2019-05-01 18:30","0.0","26.78"
"2019-05-01 18:45","0.0","26.78"
"2019-05-01 19:00","0.0","25.61"
"2019-05-01 19:15","0.0","25.61"
"2019-05-01 19:30","0.0","25.61"
"2019-05-01 19:45","0.0","25.61"
"2019-05-01 20:00","0.0","23.19"
"2019-05-01 20:15","0.0","23.19"
"2019-05-01 20:30","0.0","23.19"
"2019-05-01 20:45","0.0","23.19"
"2019-05-01 21:00","0.0","19.08"
"2019-05-01 21:15","0.3138","19.08"
"2019-05-01 21:30","2.37","19.08"
"2019-05-01 21:45","0.771","19.08"
"2019-05-01 22:00","0.0","17.56"
"2019-05-01 22:15","0.0","17.56"
"2019-05-01 22:30","0.0","17.56"
"2019-05-01 22:45","0.0","17.56"
"2019-05-01 23:00","0.0","16.85"
"2019-05-01 23:15","0.0","16.85"
"2019-05-01 23:30","0.0","16.85"
"2019-05-01 23:45","0.0","16.85"
"2019-05-02 00:00","0.0","16.5"
"2019-05-02 00:15","0.0","16.5"
"2019-05-02 00:30","0.0","16.5"
"2019-05-02 00:45","0.0","16.5"
"2019-05-02 01:00","0.0","16.49"
"2019-05-02 01:15","0.0","16.49"
"2019-05-02 01:30","0.0","16.49"
"2019-05-02 01:45","0.0","16.49"
"2019-05-02 02:00","0.0","16.17"
"2019-05-02 02:15","0.0","16.17"
"2019-05-02 02:30","0.0","16.17"
"2019-05-02 02:45","0.0","16.17"
"2019-05-02 03:00","0.0","15.48"
"2019-05-02 03:15","0.0","15.48"
"2019-05-02 03:30","0.0","15.48"
"2019-05-02 03:45","0.0","15.48"
"2019-05-02 04:00","0.0","15.77"
"2019-05-02 04:15","0.0","15.77"
"2019-05-02 04:30","0.0","15.77"
"2019-05-02 04:45","0.0","15.77"
"2019-05-02 05:00","0.0","15.08"
"2019-05-02 05:15","0.0","15.08"
"2019-05-02 05:30","0.0","15.08"
"2019-05-02 05:45","0.0","15.08"
"2019-05-02 06:00","0.0","14.41"
"2019-05-02 06:15","0.0","14.41"
"2019-05-02 06:30","0.0","14.41"
"2019-05-02 06:45","0.3118","14.41"
"2019-05-02 07:00","2.61","13.3"
"2019-05-02 07:15","2.59","13.3"
"2019-05-02 07:30","2.62","13.3"
"2019-05-02 07:45","3.75","13.3"
"2019-05-02 08:00","3.89","15.14"
"2019-05-02 08:15","3.81","15.14"
"2019-05-02 08:30","3.81","15.14"
"2019-05-02 08:45","3.67","15.14"
"2019-05-02 09:00","3.51","16.86"
"2019-05-02 09:15","3.6","16.86"
"2019-05-02 09:30","3.56","16.86"
"2019-05-02 09:45","3.56","16.86"
"2019-05-02 10:00","3.93","20.19"
"2019-05-02 10:15","3.93","20.19"
"2019-05-02 10:30","3.95","20.19"
"2019-05-02 10:45","4.05","20.19"
"2019-05-02 11:00","4.03","21.21"
"2019-05-02 11:15","3.96","21.21"
"2019-05-02 11:30","3.86","21.21"
"2019-05-02 11:45","3.85","21.21"
"2019-05-02 12:00","3.95","24.03"
"2019-05-02 12:15","3.97","24.03"
"2019-05-02 12:30","3.98","24.03"
"2019-05-02 12:45","4.18","24.03"
"2019-05-02 13:00","4.36","25.7"
"2019-05-02 13:15","4.27","25.7"
"2019-05-02 13:30","4.19","25.7"
"2019-05-02 13:45","4.26","25.7"
"2019-05-02 14:00","4.23","27.0"
"2019-05-02 14:15","4.17","27.0"
"2019-05-02 14:30","4.14","27.0"
"2019-05-02 14:45","4.08","27.0"
"2019-05-02 15:00","4.05","28.04"
"2019-05-02 15:15","4.11","28.04"
"2019-05-02 15:30","4.07","28.04"
"2019-05-02 15:45","4.04","28.04"
"2019-05-02 16:00","4.19","28.24"
"2019-05-02 16:15","4.07","28.24"
"2019-05-02 16:30","4.03","28.24"
"2019-05-02 16:45","4.05","28.24"
"2019-05-02 17:00","4.01","27.27"
"2019-05-02 17:15","4.07","27.27"
"2019-05-02 17:30","4.09","27.27"
"2019-05-02 17:45","4.07","27.27"
"2019-05-02 18:00","3.78","25.13"
"2019-05-02 18:15","3.73","25.13"
"2019-05-02 18:30","3.7","25.13"
"2019-05-02 18:45","3.75","25.13"
"2019-05-02 19:00","3.79","26.25"
"2019-05-02 19:15","3.78","26.25"
"2019-05-02 19:30","3.75","26.25"
"2019-05-02 19:45","3.68","26.25"
"2019-05-02 20:00","3.69","24.09"
"2019-05-02 20:15","3.67","24.09"
"2019-05-02 20:30","3.63","24.09"
"2019-05-02 20:45","3.61","24.09"
"2019-05-02 21:00","3.64","20.0"
"2019-05-02 21:15","1.45","20.0"
"2019-05-02 21:30","0.073","20.0"
"2019-05-02 21:45","0.0","20.0"
"2019-05-02 22:00","0.0","19.62"
"2019-05-02 22:15","0.0","19.62"
"2019-05-02 22:30","0.0","19.62"
"2019-05-02 22:45","0.0","19.62"
