"Time stamp","Tablero A   (kW)","OLG02 - CDMX Santa Fe - 204 temperatures (℃)"
"2019-06-01 00:00","0.0","18.72"
"2019-06-01 00:15","0.0","18.72"
"2019-06-01 00:30","0.0","18.72"
"2019-06-01 00:45","0.0","18.72"
"2019-06-01 01:00","0.0","17.1"
"2019-06-01 01:15","0.0","17.1"
"2019-06-01 01:30","0.0","17.1"
"2019-06-01 01:45","0.0","17.1"
"2019-06-01 02:00","0.0","16.86"
"2019-06-01 02:15","0.0","16.86"
"2019-06-01 02:30","0.0","16.86"
"2019-06-01 02:45","0.0","16.86"
"2019-06-01 03:00","0.0","16.5"
"2019-06-01 03:15","0.0","16.5"
"2019-06-01 03:30","0.0","16.5"
"2019-06-01 03:45","0.0","16.5"
"2019-06-01 04:00","0.0","16.18"
"2019-06-01 04:15","0.0","16.18"
"2019-06-01 04:30","0.0","16.18"
"2019-06-01 04:45","0.0","16.18"
"2019-06-01 05:00","0.0","15.81"
"2019-06-01 05:15","0.0","15.81"
"2019-06-01 05:30","0.0","15.81"
"2019-06-01 05:45","0.0","15.81"
"2019-06-01 06:00","0.0","15.82"
"2019-06-01 06:15","0.0","15.82"
"2019-06-01 06:30","0.0","15.82"
"2019-06-01 06:45","0.0","15.82"
"2019-06-01 07:00","0.0","15.09"
"2019-06-01 07:15","0.0","15.09"
"2019-06-01 07:30","0.0","15.09"
"2019-06-01 07:45","0.0","15.09"
"2019-06-01 08:00","0.0","16.17"
"2019-06-01 08:15","0.8654","16.17"
"2019-06-01 08:30","2.09","16.17"
"2019-06-01 08:45","2.09","16.17"
"2019-06-01 09:00","2.08","16.71"
"2019-06-01 09:15","3.89","16.71"
"2019-06-01 09:30","4.12","16.71"
"2019-06-01 09:45","4.04","16.71"
"2019-06-01 10:00","4.17","18.55"
"2019-06-01 10:15","3.95","18.55"
"2019-06-01 10:30","3.96","18.55"
"2019-06-01 10:45","3.98","18.55"
"2019-06-01 11:00","3.83","20.21"
"2019-06-01 11:15","3.86","20.21"
"2019-06-01 11:30","3.67","20.21"
"2019-06-01 11:45","3.92","20.21"
"2019-06-01 12:00","3.92","22.02"
"2019-06-01 12:15","3.99","22.02"
"2019-06-01 12:30","4.02","22.02"
"2019-06-01 12:45","4.25","22.02"
"2019-06-01 13:00","4.12","24.26"
"2019-06-01 13:15","3.99","24.26"
"2019-06-01 13:30","4.05","24.26"
"2019-06-01 13:45","3.93","24.26"
"2019-06-01 14:00","4.02","25.65"
"2019-06-01 14:15","4.03","25.65"
"2019-06-01 14:30","3.9","25.65"
"2019-06-01 14:45","4.06","25.65"
"2019-06-01 15:00","4.08","26.05"
"2019-06-01 15:15","4.11","26.05"
"2019-06-01 15:30","4.0","26.05"
