"Time stamp","Interruptor Principal   (V)"
"2019-09-02 22:45","126.55"
"2019-09-02 23:00","126.94"
"2019-09-02 23:15","127.08"
"2019-09-02 23:30","126.66"
"2019-09-02 23:45","126.78"
"2019-09-03 00:00","126.48"
"2019-09-03 00:15","126.65"
"2019-09-03 00:30","126.66"
"2019-09-03 00:45","126.24"
"2019-09-03 01:00","126.24"
"2019-09-03 01:15","126.35"
"2019-09-03 01:30","126.47"
"2019-09-03 01:45","126.43"
"2019-09-03 02:00","126.3"
"2019-09-03 02:15","126.31"
"2019-09-03 02:30","126.43"
"2019-09-03 02:45","126.26"
"2019-09-03 03:00","126.39"
"2019-09-03 03:15","126.36"
"2019-09-03 03:30","126.37"
"2019-09-03 03:45","126.28"
"2019-09-03 04:00","126.44"
"2019-09-03 04:15","126.47"
"2019-09-03 04:30","126.59"
"2019-09-03 04:45","126.55"
"2019-09-03 05:00","126.44"
"2019-09-03 05:15","126.27"
"2019-09-03 05:30","126.3"
"2019-09-03 05:45","126.46"
"2019-09-03 06:00","126.21"
"2019-09-03 06:15","125.92"
"2019-09-03 06:30","125.47"
"2019-09-03 06:45","125.27"
"2019-09-03 07:00","125.52"
"2019-09-03 07:15","125.17"
"2019-09-03 07:30","124.97"
"2019-09-03 07:45","124.9"
"2019-09-03 08:00","124.83"
"2019-09-03 08:15","124.97"
"2019-09-03 08:30","125.08"
"2019-09-03 08:45","125.13"
"2019-09-03 09:00","125.02"
"2019-09-03 09:15","124.81"
"2019-09-03 09:30","124.48"
"2019-09-03 09:45","124.39"
"2019-09-03 10:00","124.75"
"2019-09-03 10:15","124.16"
"2019-09-03 10:30","123.43"
"2019-09-03 10:45","123.82"
"2019-09-03 11:00","123.63"
"2019-09-03 11:15","124.26"
"2019-09-03 11:30","124.41"
"2019-09-03 11:45","124.17"
"2019-09-03 12:00","124.04"
"2019-09-03 12:15","123.66"
"2019-09-03 12:30","123.27"
"2019-09-03 12:45","123.17"
"2019-09-03 13:00","122.92"
"2019-09-03 13:15","121.85"
"2019-09-03 13:30","122.29"
"2019-09-03 13:45","122.52"
"2019-09-03 14:00","122.03"
"2019-09-03 14:15","122.39"
"2019-09-03 14:30","122.38"
"2019-09-03 14:45","122.45"
"2019-09-03 15:00","121.85"
"2019-09-03 15:15","122.23"
"2019-09-03 15:30","122.85"
"2019-09-03 15:45","122.65"
"2019-09-03 16:00","122.23"
"2019-09-03 16:15","122.8"
"2019-09-03 16:30","122.98"
"2019-09-03 16:45","123.36"
"2019-09-03 17:00","123.36"
"2019-09-03 17:15","124.02"
"2019-09-03 17:30","123.87"
"2019-09-03 17:45","124.47"
"2019-09-03 18:00","124.6"
"2019-09-03 18:15","123.76"
"2019-09-03 18:30","124.72"
"2019-09-03 18:45","124.21"
"2019-09-03 19:00","124.41"
"2019-09-03 19:15","125.02"
