"Time stamp","Interruptor Principal   (A)","Lavaloza   (A)","Tablero A   (A)","Tablero B   (A)","Tablero C   (A)","Tablero D   (A)","Tablero E   (A)"
"2018-09-01 00:00","29.12","0.0","0.495","21.7","1.8","3.62","2.86"
"2018-09-01 00:15","35.41","0.0","0.0","28.54","1.77","2.66","2.92"
"2018-09-01 00:30","27.41","0.0","0.0","20.95","2.06","2.29","2.92"
"2018-09-01 00:45","37.52","0.0","0.0","30.66","1.75","2.66","2.76"
"2018-09-01 01:00","27.84","0.0","0.0","21.4","1.72","2.64","2.95"
"2018-09-01 01:15","28.01","0.0","0.0","21.46","1.81","2.6","2.94"
"2018-09-01 01:30","35.17","0.0","0.0","28.26","1.96","2.58","2.87"
"2018-09-01 01:45","25.36","0.0","0.0","19.01","1.74","2.24","2.95"
"2018-09-01 02:00","30.37","0.0","0.0","23.87","1.79","2.25","2.96"
"2018-09-01 02:15","30.33","0.0","0.0","23.59","1.99","2.26","2.75"
"2018-09-01 02:30","34.31","0.0","0.0","27.8","1.73","2.26","2.98"
"2018-09-01 02:45","35.47","0.0","0.0","28.68","1.71","2.26","2.89"
"2018-09-01 03:00","34.77","0.0","0.0","27.77","2.04","2.26","2.83"
"2018-09-01 03:15","32.79","0.0","0.0","26.37","1.8","2.25","2.89"
"2018-09-01 03:30","30.2","0.0","0.0","24.06","1.72","1.94","2.84"
"2018-09-01 03:45","33.78","0.0","0.0","27.26","1.82","1.59","2.97"
"2018-09-01 04:00","27.67","0.0","0.0","21.5","1.92","1.59","2.89"
"2018-09-01 04:15","26.73","0.0","0.0","20.44","1.79","1.94","2.69"
"2018-09-01 04:30","15.1","0.0","0.0","9.59","1.9","1.57","3.03"
"2018-09-01 04:45","19.77","0.0","0.0","14.75","1.37","1.87","2.88"
"2018-09-01 05:00","14.48","0.0","0.0","8.82","1.79","2.21","2.98"
"2018-09-01 05:15","14.87","0.0","0.0","9.18","1.79","1.86","2.85"
"2018-09-01 05:30","14.9","0.0","0.0","10.91","1.28","2.2","2.1"
"2018-09-01 05:45","18.59","0.0","0.0","12.31","1.96","2.17","2.89"
"2018-09-01 06:00","20.19","0.0","0.0","14.05","2.19","2.19","2.91"
"2018-09-01 06:15","12.88","0.0","0.0","6.76","2.39","2.15","2.89"
"2018-09-01 06:30","15.76","0.0","0.0","10.58","1.77","1.56","3.0"
"2018-09-01 06:45","12.29","0.0","0.0","8.84","1.76","1.55","2.9"
"2018-09-01 07:00","13.55","0.0","0.0","8.19","1.73","1.54","3.01"
"2018-09-01 07:15","13.49","0.0","0.0","7.89","1.74","1.84","2.91"
"2018-09-01 07:30","11.34","0.0","0.0","5.89","1.65","2.15","2.92"
"2018-09-01 07:45","13.2","0.0","0.0","9.53","1.39","2.13","2.54"
"2018-09-01 08:00","15.31","0.0","0.0","9.71","1.77","2.14","2.69"
"2018-09-01 08:15","16.4","0.0","0.0","10.71","1.76","2.16","2.88"
"2018-09-01 08:30","24.75","0.0","0.0","19.24","1.89","1.25","3.0"
"2018-09-01 08:45","27.19","0.0","0.0","21.59","1.74","1.23","2.9"
"2018-09-01 09:00","28.0","0.0","6.06","15.54","3.21","1.84","2.94"
"2018-09-01 09:15","23.38","0.0","6.75","9.34","3.76","1.99","2.9"
"2018-09-01 09:30","30.53","0.0","6.65","16.67","3.75","2.17","2.91"
"2018-09-01 09:45","34.94","0.0","6.55","10.77","9.75","2.16","2.93"
"2018-09-01 10:00","32.03","0.0","5.85","11.48","5.72","1.89","2.45"
"2018-09-01 10:15","66.39","0.0","7.21","22.36","6.41","2.22","2.85"
"2018-09-01 10:30","69.87","0.0","7.5","23.16","5.39","1.97","3.0"
"2018-09-01 10:45","64.46","0.0","7.27","16.61","5.43","2.28","2.98"
"2018-09-01 11:00","86.96","0.0","7.16","14.5","5.15","3.59","17.62"
"2018-09-01 11:15","96.41","0.0","7.15","14.04","4.2","2.83","25.49"
"2018-09-01 11:30","100.25","0.0","7.2","16.2","5.84","4.18","25.3"
"2018-09-01 11:45","111.6","0.0","7.52","10.16","8.91","3.69","25.27"
"2018-09-01 12:00","111.84","0.0","7.57","20.04","5.5","3.63","25.28"
"2018-09-01 12:15","105.17","0.0","11.39","9.47","5.21","4.38","27.3"
"2018-09-01 12:30","140.45","23.13","11.49","18.43","5.03","3.72","27.59"
"2018-09-01 12:45","127.42","0.0","11.12","15.29","4.85","6.99","43.4"
"2018-09-01 13:00","111.91","0.0","11.37","13.28","5.25","9.49","49.35"
"2018-09-01 13:15","180.24","5.72","11.37","19.09","6.1","9.49","49.54"
"2018-09-01 13:30","127.79","0.0","11.29","15.2","6.66","9.5","49.14"
"2018-09-01 13:45","160.79","17.29","11.54","14.03","5.93","9.48","49.16"
"2018-09-01 14:00","165.67","17.32","11.84","14.0","6.48","9.5","49.17"
"2018-09-01 14:15","206.5","35.47","11.58","13.54","6.04","9.47","49.1"
"2018-09-01 14:30","204.22","39.88","11.68","17.88","5.1","9.51","49.03"
"2018-09-01 14:45","235.17","38.07","11.72","13.59","5.38","11.94","34.91"
"2018-09-01 15:00","262.22","56.41","11.62","18.5","6.06","25.77","42.59"
"2018-09-01 15:15","238.75","44.46","11.68","15.35","5.57","25.48","44.09"
"2018-09-01 15:30","228.88","11.33","11.5","15.85","6.31","25.73","43.96"
"2018-09-01 15:45","263.36","15.5","11.74","18.47","6.0","25.52","44.0"
"2018-09-01 16:00","230.74","22.57","11.84","21.17","5.85","25.54","44.1"
"2018-09-01 16:15","235.11","16.52","11.56","21.59","6.34","26.3","44.19"
"2018-09-01 16:30","220.28","10.98","11.41","12.6","7.81","25.89","44.19"
"2018-09-01 16:45","201.27","5.75","12.01","22.73","5.54","25.46","44.24"
"2018-09-01 17:00","222.52","22.72","12.19","22.02","6.78","25.82","44.31"
"2018-09-01 17:15","200.93","0.0","11.93","19.65","6.2","25.88","44.22"
"2018-09-01 17:30","255.28","16.52","11.91","19.43","6.04","25.33","44.37"
"2018-09-01 17:45","205.75","16.3","11.67","22.27","5.52","25.25","44.29"
"2018-09-01 18:00","176.26","33.39","8.0","11.31","4.0","18.82","32.57"
"2018-09-01 18:15","175.25","0.0","10.56","13.31","6.12","25.32","44.49"
"2018-09-01 18:30","206.24","22.62","10.72","21.43","5.99","25.46","44.53"
"2018-09-01 18:45","256.72","28.2","11.18","22.28","5.88","25.71","44.43"
"2018-09-01 19:00","288.14","48.27","11.34","18.68","5.8","25.96","44.41"
"2018-09-01 19:15","198.14","16.97","10.97","22.59","4.63","25.92","44.42"
"2018-09-01 19:30","186.79","15.91","10.7","12.94","3.48","25.12","44.42"
"2018-09-01 19:45","174.09","11.27","10.59","17.07","2.97","25.73","44.44"
"2018-09-01 20:00","232.9","33.88","10.75","12.93","4.99","25.17","44.58"
"2018-09-01 20:15","178.89","17.09","10.7","16.0","4.1","18.71","32.95"
"2018-09-01 20:30","110.38","28.9","10.47","25.14","3.83","5.46","2.73"
"2018-09-01 20:45","115.25","29.03","10.48","23.97","3.1","5.62","2.94"
"2018-09-01 21:00","113.81","42.27","10.37","14.24","3.12","5.01","2.96"
"2018-09-01 21:15","78.88","25.73","7.47","23.67","3.79","4.6","2.71"
"2018-09-01 21:30","108.22","34.79","7.46","19.82","3.76","4.59","2.94"
"2018-09-01 21:45","105.61","17.17","7.38","24.82","3.16","4.58","2.95"
"2018-09-01 22:00","87.22","5.81","7.32","23.59","3.27","4.63","2.98"
"2018-09-01 22:15","37.66","0.0","7.18","20.55","2.91","5.03","2.99"
"2018-09-01 22:30","30.62","0.0","7.13","15.4","2.97","5.02","2.86"
"2018-09-01 22:45","28.84","0.0","1.9","19.52","1.82","4.9","2.85"
"2018-09-01 23:00","21.28","0.0","0.0","13.64","1.79","4.85","2.96"
"2018-09-01 23:15","26.4","0.0","0.0","18.93","1.85","4.73","2.65"
"2018-09-01 23:30","23.42","0.0","0.0","15.87","1.78","4.64","2.87"
"2018-09-01 23:45","28.4","0.0","0.0","20.54","1.98","4.71","2.75"
"2018-09-02 00:00","20.66","0.0","0.0","13.13","1.91","4.55","2.98"
"2018-09-02 00:15","27.16","0.0","0.0","19.32","1.75","4.55","2.61"
"2018-09-02 00:30","21.6","0.0","0.0","14.37","1.8","4.57","2.98"
"2018-09-02 00:45","20.95","0.0","0.0","13.55","1.74","4.54","2.99"
"2018-09-02 01:00","24.29","0.0","0.0","16.84","1.82","4.54","2.79"
"2018-09-02 01:15","23.87","0.0","0.0","16.43","1.78","4.51","2.97"
"2018-09-02 01:30","25.09","0.0","0.0","17.61","1.74","4.46","2.89"
"2018-09-02 01:45","23.18","0.0","0.0","15.72","1.8","4.32","2.86"
"2018-09-02 02:00","26.35","0.0","0.0","18.84","1.99","4.26","2.97"
"2018-09-02 02:15","19.3","0.0","0.0","12.05","1.76","4.34","2.99"
"2018-09-02 02:30","25.54","0.0","0.0","18.02","1.83","4.32","2.69"
"2018-09-02 02:45","19.25","0.0","0.0","12.04","1.84","4.29","3.04"
