"Time stamp","Interruptor Principal   (A)","Lavaloza   (A)","Tablero A   (A)","Tablero B   (A)","Tablero C   (A)","Tablero D   (A)","Tablero E   (A)"
"2018-04-01 00:00","51.19","0.0","11.5","34.37","2.19","1.79","1.76"
"2018-04-01 00:15","37.1","0.0","3.47","26.89","2.27","1.77","1.8"
"2018-04-01 00:30","40.65","0.0","0.0","33.7","2.08","1.19","1.72"
"2018-04-01 00:45","37.04","0.0","0.0","28.57","3.75","1.48","1.7"
"2018-04-01 01:00","37.52","0.0","0.0","30.33","2.87","1.45","1.69"
"2018-04-01 01:15","28.41","0.0","0.0","21.61","2.78","1.89","1.74"
"2018-04-01 01:30","26.44","0.0","0.0","19.71","2.75","2.05","1.7"
"2018-04-01 02:45","33.74","0.0","0.0","27.39","2.76","2.08","1.51"
"2018-04-01 03:00","29.87","0.0","0.0","23.13","2.77","1.75","1.67"
"2018-04-01 03:15","31.79","0.0","0.0","25.75","2.15","1.17","1.68"
"2018-04-01 03:30","32.64","0.0","0.0","25.55","2.5","1.01","1.66"
"2018-04-01 03:45","33.45","0.0","0.0","26.08","2.81","1.74","1.72"
"2018-04-01 04:00","37.87","0.0","0.0","30.89","2.41","2.04","1.76"
"2018-04-01 04:15","44.48","0.0","0.0","35.96","2.42","2.06","1.54"
"2018-04-01 04:30","37.87","0.0","0.0","29.95","3.52","1.45","1.55"
"2018-04-01 04:45","38.24","0.0","0.0","30.35","2.53","1.15","1.39"
"2018-04-01 05:00","38.96","0.0","0.0","31.34","2.47","1.44","1.85"
"2018-04-01 05:15","27.0","0.0","0.0","20.51","2.88","1.88","1.92"
"2018-04-01 05:30","34.03","0.0","0.0","26.76","2.75","2.06","1.86"
"2018-04-01 05:45","25.35","0.0","0.0","19.05","2.81","1.76","1.8"
"2018-04-01 06:00","34.12","0.0","0.0","27.42","2.77","0.865","1.59"
"2018-04-01 06:15","28.58","0.0","0.0","21.97","2.74","1.45","1.63"
"2018-04-01 06:30","32.41","0.0","0.0","25.75","2.7","1.74","1.61"
"2018-04-01 06:45","27.68","0.0","0.0","20.59","2.76","2.03","1.6"
"2018-04-01 07:00","36.43","0.0","0.0","29.23","2.09","1.77","1.74"
"2018-04-01 07:15","37.57","0.0","0.0","29.8","2.17","0.88","1.72"
"2018-04-01 07:30","31.58","0.0","0.0","24.89","2.13","1.42","1.7"
"2018-04-01 07:45","30.18","0.0","0.0","22.32","2.17","2.01","1.68"
"2018-04-01 08:00","18.88","0.0","0.0","12.46","2.12","2.0","1.81"
"2018-04-01 08:15","15.68","0.0","0.0","9.97","2.73","1.14","1.69"
"2018-04-01 08:30","18.07","0.0","0.0","12.81","2.71","0.838","1.66"
"2018-04-01 08:45","19.09","0.0","1.29","12.37","2.67","2.02","1.86"
"2018-04-01 09:00","29.95","0.0","5.11","13.29","2.87","2.02","1.51"
