"Time stamp","Interruptor Principal   (A)","Lavaloza   (A)","Tablero A   (A)","Tablero B   (A)","Tablero C   (A)","Tablero D   (A)","Tablero E   (A)"
"2018-08-01 00:00","19.15","0.0","0.0","13.82","1.89","2.16","2.08"
"2018-08-01 00:15","12.9","0.0","0.0","7.79","1.83","1.84","1.9"
"2018-08-01 00:30","17.28","0.0","0.0","12.18","1.79","1.56","2.09"
"2018-08-01 00:45","17.52","0.0","0.0","12.73","1.72","1.23","1.97"
"2018-08-01 01:00","27.91","0.0","0.0","22.45","1.71","1.22","1.99"
"2018-08-01 01:15","10.67","0.0","0.0","5.99","1.82","2.14","1.98"
"2018-08-01 01:30","16.08","0.0","0.0","11.01","1.64","2.17","1.8"
"2018-08-01 01:45","10.01","0.0","0.0","5.2","1.73","1.82","2.23"
"2018-08-01 02:00","16.04","0.0","0.0","10.61","1.8","2.12","2.2"
"2018-08-01 02:15","13.65","0.0","0.0","8.17","1.73","1.83","2.01"
"2018-08-01 02:30","9.18","0.0","0.0","4.95","1.72","1.23","2.08"
"2018-08-01 02:45","18.93","0.0","0.0","13.65","1.87","1.16","2.11"
"2018-08-01 03:00","18.16","0.0","0.0","12.79","1.75","1.82","1.9"
"2018-08-01 03:15","24.33","0.0","0.0","18.66","1.74","2.16","1.9"
"2018-08-01 03:30","14.51","0.0","0.0","9.66","1.72","2.13","2.15"
"2018-08-01 03:45","11.6","0.0","0.0","6.74","1.78","2.14","1.98"
"2018-08-01 04:00","15.14","0.0","0.0","10.2","1.77","1.53","1.98"
"2018-08-01 04:15","8.99","0.0","0.0","5.29","1.58","0.88","2.12"
"2018-08-01 04:30","18.34","0.0","0.0","13.53","1.71","1.21","1.86"
"2018-08-01 04:45","10.69","0.0","0.0","5.79","1.71","2.13","1.96"
"2018-08-01 05:00","16.92","0.0","0.0","11.8","1.78","1.84","1.95"
"2018-08-01 05:15","17.93","0.0","0.0","12.7","1.89","1.84","2.14"
"2018-08-01 05:30","14.6","0.0","0.0","9.57","1.76","1.54","2.21"
"2018-08-01 05:45","19.49","0.0","0.0","14.6","1.74","0.94","2.04"
"2018-08-01 06:00","20.99","0.0","0.0","15.88","2.33","0.607","1.57"
"2018-08-01 06:15","12.26","0.0","0.0","7.19","1.89","1.82","2.1"
