"Time stamp","Interruptor Principal   (A)","Lavaloza   (A)","Tablero A   (A)","Tablero B   (A)","Tablero C   (A)","Tablero D   (A)","Tablero E   (A)"
"2019-09-01 00:00","23.88","0.0","0.0","22.38","0.0","0.609","0.0"
"2019-09-01 00:15","29.1","0.0","0.0","25.84","0.0","3.35","0.0"
"2019-09-01 00:30","27.2","0.0","0.0","25.54","0.0","0.128","0.0"
"2019-09-01 00:45","28.1","0.0","0.0","24.46","0.0","3.93","0.0"
"2019-09-01 01:00","35.54","0.0","0.0","33.69","0.0","0.35","0.0"
"2019-09-01 01:15","29.54","0.0","0.0","27.44","0.539","0.354","0.0"
"2019-09-01 01:30","36.64","0.0","0.0","31.66","2.6","3.78","0.0"
"2019-09-01 01:45","29.23","0.0","0.0","27.44","0.519","0.516","0.0"
"2019-09-01 02:00","30.14","0.0","0.0","27.12","0.0","2.46","0.0"
"2019-09-01 02:15","21.69","0.0","0.0","19.7","0.0","1.36","0.0"
"2019-09-01 02:30","29.09","0.0","0.0","27.53","0.0","0.355","0.0"
"2019-09-01 02:45","24.53","0.0","0.0","21.08","0.0","3.98","0.0"
"2019-09-01 03:00","24.25","0.0","0.0","22.52","0.0","0.519","0.0"
"2019-09-01 03:15","27.46","0.0","0.0","25.22","0.0","1.42","0.0"
"2019-09-01 03:30","24.81","0.0","0.0","21.77","0.0","3.27","0.0"
"2019-09-01 03:45","28.93","0.0","0.0","27.4","0.0","0.335","0.0"
"2019-09-01 04:00","22.62","0.0","0.0","19.65","0.0","2.97","0.0"
"2019-09-01 04:15","19.75","0.0","0.0","17.94","1.04","0.319","0.0"
"2019-09-01 04:30","13.28","0.0","0.0","10.08","2.07","2.13","0.0"
"2019-09-01 04:45","14.63","0.0","0.0","12.42","0.0","2.16","0.0"
"2019-09-01 05:00","5.6","0.0","0.0","4.86","0.0","0.519","0.0"
"2019-09-01 05:15","13.74","0.0","0.0","10.14","0.0","4.78","0.0"
"2019-09-01 05:30","9.33","0.0","0.0","8.42","0.0","0.026","0.0"
"2019-09-01 05:45","20.75","0.0","0.0","18.57","0.0","1.76","0.0"
"2019-09-01 06:00","21.97","0.0","0.0","20.12","0.0","1.46","0.0"
"2019-09-01 06:15","14.39","0.0","0.0","12.26","0.0","1.92","0.0"
"2019-09-01 06:30","13.15","0.0","0.0","10.42","0.0","3.15","0.0"
"2019-09-01 06:45","11.86","0.0","0.0","10.77","0.0","0.134","0.0"
"2019-09-01 07:00","20.52","0.0","0.0","16.82","0.0","4.66","0.0"
"2019-09-01 07:15","10.03","0.0","0.0","9.15","0.0","0.0","0.0"
"2019-09-01 07:30","13.0","0.0","0.0","11.43","0.0","0.885","0.0"
"2019-09-01 07:45","11.33","0.0","0.0","8.45","0.0","3.88","0.0"
"2019-09-01 08:00","10.96","0.0","0.0","10.01","0.0","0.33","0.0"
"2019-09-01 08:15","8.39","0.0","0.0","5.09","0.0","4.05","0.0"
"2019-09-01 08:30","17.62","0.0","3.28","12.41","0.503","0.431","0.0"
"2019-09-01 08:45","86.92","23.31","6.41","6.45","3.98","0.295","0.0"
"2019-09-01 09:00","68.68","0.0","6.35","10.34","4.42","4.02","0.0"
"2019-09-01 09:15","64.83","0.0","6.35","12.27","6.51","0.35","0.0"
"2019-09-01 09:30","84.39","10.68","7.25","13.62","6.56","3.14","0.0"
"2019-09-01 09:45","67.39","0.0","11.38","13.09","10.59","0.523","0.0"
"2019-09-01 10:00","89.51","11.59","10.8","11.02","3.69","3.11","0.0"
"2019-09-01 10:15","71.79","5.8","11.37","12.23","2.43","1.08","0.0"
"2019-09-01 10:30","76.71","0.0","11.47","14.27","3.38","0.342","0.0"
"2019-09-01 10:45","59.21","0.0","11.28","9.24","2.74","3.92","0.0"
"2019-09-01 11:00","72.08","5.75","11.62","16.7","7.08","0.523","0.0"
"2019-09-01 11:15","55.98","0.0","11.41","8.73","3.0","3.6","0.0"
"2019-09-01 11:30","68.02","0.0","10.02","10.48","7.93","0.37","0.0"
"2019-09-01 11:45","175.08","5.69","11.31","15.18","3.44","1.55","72.25"
"2019-09-01 12:00","139.31","4.54","11.53","13.8","7.74","2.57","63.6"
"2019-09-01 12:15","148.62","0.0","11.14","12.69","5.64","0.286","68.53"
"2019-09-01 12:30","163.5","0.0","11.0","11.86","2.28","3.48","64.65"
"2019-09-01 12:45","166.86","10.54","11.02","11.89","2.81","0.522","63.84"
"2019-09-01 13:00","154.42","5.77","11.01","20.89","3.73","2.54","64.33"
"2019-09-01 13:15","160.87","0.0","10.95","15.08","3.73","1.44","68.54"
"2019-09-01 13:30","128.67","5.84","11.14","11.58","2.68","0.149","68.57"
"2019-09-01 13:45","130.61","0.0","11.11","12.71","8.6","3.73","68.84"
"2019-09-01 14:00","138.14","5.83","11.35","13.64","3.13","0.335","69.13"
"2019-09-01 14:15","248.5","55.66","11.22","13.86","4.67","3.02","69.15"
"2019-09-01 14:30","253.71","69.41","11.03","8.94","16.86","0.846","65.61"
"2019-09-01 14:45","234.75","34.14","10.89","15.93","16.92","0.326","65.57"
"2019-09-01 15:00","256.46","53.77","11.03","11.86","18.56","3.56","65.89"
"2019-09-01 15:15","245.48","58.56","11.16","16.28","18.26","0.3","66.89"
"2019-09-01 15:30","281.94","62.07","11.44","18.19","18.65","3.75","69.65"
"2019-09-01 15:45","252.13","47.01","11.56","15.78","18.05","0.521","69.83"
"2019-09-01 16:00","291.33","75.9","11.48","16.24","18.82","0.528","69.58"
"2019-09-01 16:15","267.38","55.09","11.08","17.01","18.57","3.6","71.09"
"2019-09-01 16:30","308.43","74.45","11.14","12.45","18.01","0.486","68.97"
"2019-09-01 16:45","297.99","67.99","11.44","17.67","19.18","3.21","70.12"
"2019-09-01 17:00","261.77","53.58","11.42","16.91","19.3","0.908","68.19"
"2019-09-01 17:15","286.86","73.67","11.24","16.8","19.13","0.484","68.23"
"2019-09-01 17:30","237.19","54.78","11.13","11.73","18.7","3.1","53.63"
"2019-09-01 17:45","289.34","70.65","11.4","21.98","19.49","0.441","49.41"
"2019-09-01 18:00","256.36","55.92","10.87","23.72","18.25","3.17","64.2"
"2019-09-01 18:15","205.09","32.61","10.52","22.05","18.76","0.517","63.83"
"2019-09-01 18:30","186.5","21.31","10.36","13.54","17.8","1.92","65.76"
"2019-09-01 18:45","264.65","75.05","9.82","13.7","12.05","1.05","66.8"
"2019-09-01 19:00","224.81","49.31","9.96","24.82","4.11","2.4","68.15"
"2019-09-01 19:15","210.94","63.92","9.87","19.24","3.57","1.29","65.83"
"2019-09-01 19:30","187.39","41.34","10.08","17.98","3.48","0.531","67.62"
"2019-09-01 19:45","210.22","49.13","10.34","15.02","3.26","4.03","65.69"
"2019-09-01 20:00","210.65","60.7","10.53","12.53","3.5","0.532","47.28"
"2019-09-01 20:15","163.31","22.77","10.31","17.94","3.58","2.06","50.63"
"2019-09-01 20:30","125.61","22.89","9.98","12.73","4.86","1.32","53.74"
"2019-09-01 20:45","86.48","0.0","9.73","13.32","3.64","0.406","54.39"
"2019-09-01 21:00","85.83","0.0","9.95","9.81","3.34","3.36","62.29"
"2019-09-01 21:15","84.91","0.0","10.05","12.25","2.88","0.483","54.34"
"2019-09-01 21:30","93.22","0.0","9.98","17.46","2.85","3.39","55.23"
"2019-09-01 21:45","90.83","0.0","9.6","25.53","2.66","0.42","45.84"
"2019-09-01 22:00","26.31","0.0","0.0","23.14","0.6","3.39","0.0"
"2019-09-01 22:15","27.36","0.0","0.0","25.97","0.598","0.462","0.0"
"2019-09-01 22:30","29.69","0.0","0.0","27.8","0.874","0.351","0.0"
"2019-09-01 22:45","32.36","0.0","0.0","27.89","1.54","3.52","0.0"
"2019-09-01 23:00","29.45","0.0","0.0","28.18","0.598","0.353","0.0"
"2019-09-01 23:15","25.38","0.0","0.0","22.47","0.598","3.33","0.0"
"2019-09-01 23:30","28.62","0.0","0.0","27.05","0.599","0.346","0.0"
"2019-09-01 23:45","21.73","0.0","0.0","19.46","0.6","2.05","0.0"
