"Time stamp","Interruptor Principal   (A)","Lavaloza   (A)","Tablero A   (A)","Tablero B   (A)","Tablero C   (A)","Tablero D   (A)","Tablero E   (A)"
"2019-10-01 00:00","24.91","0.0","0.0","23.87","0.0","1.96","0.0"
"2019-10-01 00:15","16.86","0.0","0.0","15.32","0.0","1.93","0.0"
"2019-10-01 00:30","19.24","0.0","0.0","17.35","0.0","1.7","0.0"
"2019-10-01 00:45","21.42","0.0","0.0","19.76","0.0","1.67","0.0"
"2019-10-01 01:00","23.41","0.0","0.0","21.71","0.0","1.68","0.0"
"2019-10-01 01:15","26.65","0.0","0.0","24.65","0.0","1.69","0.0"
"2019-10-01 01:30","23.25","0.0","0.0","21.57","0.0","1.71","0.0"
"2019-10-01 01:45","23.36","0.0","0.0","21.73","0.0","1.38","0.0"
"2019-10-01 02:00","20.91","0.0","0.0","19.29","0.0","1.67","0.0"
"2019-10-01 02:15","19.34","0.0","0.0","17.75","0.0","1.91","0.0"
"2019-10-01 02:30","18.6","0.0","0.0","16.96","0.0","1.95","0.0"
"2019-10-01 02:45","23.6","0.0","0.0","21.89","0.0","1.92","0.0"
"2019-10-01 03:00","15.89","0.0","0.0","14.45","0.0","1.94","0.0"
"2019-10-01 03:15","19.27","0.0","0.0","17.61","0.0","1.67","0.0"
"2019-10-01 03:30","22.58","0.0","0.0","21.11","0.0","1.11","0.0"
"2019-10-01 03:45","17.44","0.0","0.0","16.16","0.0","1.07","0.0"
"2019-10-01 04:00","21.75","0.0","0.0","20.24","0.0","1.63","0.0"
"2019-10-01 04:15","15.43","0.0","0.0","13.92","0.0","1.91","0.0"
"2019-10-01 04:30","23.71","0.0","0.0","21.91","0.0","1.95","0.0"
"2019-10-01 04:45","14.68","0.0","0.0","13.15","0.0","1.76","0.0"
"2019-10-01 05:00","22.12","0.0","0.0","20.62","0.0","1.4","0.0"
"2019-10-01 05:15","19.39","0.0","0.0","18.06","0.0","0.827","0.0"
"2019-10-01 05:30","22.41","0.0","0.0","21.03","0.0","1.08","0.0"
"2019-10-01 05:45","15.04","0.0","0.0","13.66","0.0","1.92","0.0"
"2019-10-01 06:00","20.86","0.0","0.0","19.03","0.0","1.63","0.0"
"2019-10-01 06:15","26.67","0.0","0.0","23.58","2.55","1.65","0.0"
"2019-10-01 06:30","21.78","0.0","0.0","19.91","1.05","1.68","0.0"
"2019-10-01 06:45","23.88","0.0","4.57","13.98","0.457","1.09","0.0"
"2019-10-01 07:00","47.15","0.0","6.17","17.69","0.773","1.04","0.0"
"2019-10-01 07:15","50.26","0.0","6.38","20.01","3.66","1.89","0.0"
