"Time stamp","Interruptor Principal   (A)","Lavaloza   (A)","Tablero A   (A)","Tablero B   (A)","Tablero C   (A)","Tablero D   (A)","Tablero E   (A)"
"2018-12-01 00:00","32.59","0.0","0.0","28.52","2.05","2.1","0.0"
"2018-12-01 00:15","33.76","0.0","0.0","29.44","2.49","2.06","0.0"
"2018-12-01 00:30","32.14","0.0","0.0","27.97","2.0","1.71","0.0"
"2018-12-01 00:45","31.26","0.0","0.0","27.4","2.12","1.36","0.0"
"2018-12-01 01:00","27.82","0.0","0.0","24.35","2.1","0.34","0.0"
"2018-12-01 01:15","29.14","0.0","0.0","25.21","2.24","1.65","0.0"
"2018-12-01 01:30","29.35","0.0","0.0","25.56","2.1","0.982","0.0"
"2018-12-01 01:45","33.35","0.0","0.0","29.17","2.16","1.68","0.0"
"2018-12-01 02:00","32.29","0.0","0.0","28.41","1.98","0.998","0.0"
"2018-12-01 02:15","30.24","0.0","0.0","26.34","2.24","2.02","0.0"
"2018-12-01 02:30","29.37","0.0","0.0","25.84","2.08","1.04","0.0"
"2018-12-01 02:45","28.14","0.0","0.0","24.82","2.52","1.37","0.0"
"2018-12-01 03:00","29.22","0.0","0.0","25.32","2.05","0.328","0.0"
"2018-12-01 03:15","26.13","0.0","0.0","22.35","2.09","1.32","0.0"
"2018-12-01 03:30","31.09","0.0","0.0","27.12","2.14","0.318","0.0"
"2018-12-01 03:45","26.4","0.0","0.0","22.48","2.22","1.98","0.0"
"2018-12-01 04:00","32.34","0.0","0.0","27.92","2.65","1.33","0.0"
"2018-12-01 04:15","24.8","0.0","0.0","20.98","2.69","0.968","0.0"
"2018-12-01 04:30","30.58","0.0","0.0","26.67","2.3","1.31","0.0"
"2018-12-01 04:45","27.75","0.0","0.0","24.15","2.0","0.64","0.0"
"2018-12-01 05:00","28.13","0.0","0.0","24.21","2.22","1.65","0.0"
"2018-12-01 05:15","28.56","0.0","0.0","24.54","2.01","0.969","0.0"
"2018-12-01 05:30","25.73","0.0","0.0","22.0","2.04","1.65","0.0"
"2018-12-01 05:45","29.73","0.0","0.0","26.35","2.27","0.994","0.0"
"2018-12-01 06:00","24.94","0.0","0.0","21.87","2.0","1.28","0.0"
"2018-12-01 06:15","30.39","0.0","0.0","26.53","1.97","0.64","0.0"
"2018-12-01 06:30","24.14","0.0","0.0","20.42","1.97","1.63","0.0"
"2018-12-01 06:45","30.42","0.0","0.0","26.51","2.03","1.28","0.0"
"2018-12-01 07:00","28.38","0.0","0.0","25.01","2.03","1.32","0.0"
"2018-12-01 07:15","20.88","0.0","0.0","17.87","2.16","0.971","0.0"
"2018-12-01 07:30","20.42","0.0","0.0","17.21","1.99","1.61","0.0"
"2018-12-01 07:45","24.82","0.0","0.0","21.18","2.02","1.28","0.0"
"2018-12-01 08:00","25.68","0.0","0.0","22.34","2.08","1.63","0.0"
"2018-12-01 08:15","26.21","0.0","3.39","18.98","2.34","1.97","0.0"
"2018-12-01 08:30","34.22","0.0","6.22","15.43","8.71","1.0","0.0"
