"Time stamp","Interruptor Principal   (A)","Lavaloza   (A)","Tablero A   (A)","Tablero B   (A)","Tablero C   (A)","Tablero D   (A)","Tablero E   (A)"
"2019-08-01 00:00","20.38","0.0","0.0","19.17","0.0","0.565","0.0"
"2019-08-01 00:15","26.71","0.0","0.0","23.2","0.0","3.68","0.0"
"2019-08-01 00:30","24.41","0.0","0.0","23.24","0.0","0.348","0.0"
"2019-08-01 00:45","25.57","0.0","0.0","23.12","0.0","2.89","0.0"
"2019-08-01 01:00","27.31","0.0","0.0","25.81","0.0","0.187","0.0"
"2019-08-01 01:15","25.42","0.0","0.0","22.49","0.0","3.24","0.0"
"2019-08-01 01:30","26.37","0.0","0.0","25.16","0.0","0.323","0.0"
"2019-08-01 01:45","37.34","0.0","0.0","33.15","2.89","2.31","0.0"
"2019-08-01 02:00","34.81","0.0","0.0","32.62","1.46","1.04","0.0"
"2019-08-01 02:15","33.18","0.0","0.0","30.84","0.0","2.35","0.0"
"2019-08-01 02:30","24.84","0.0","0.0","23.31","0.0","1.3","0.0"
"2019-08-01 02:45","29.22","0.0","0.0","27.48","0.0","0.888","0.0"
"2019-08-01 03:00","25.16","0.0","0.0","22.65","0.0","3.03","0.0"
"2019-08-01 03:15","26.55","0.0","0.0","25.24","0.0","0.52","0.0"
"2019-08-01 03:30","27.14","0.0","0.0","23.98","0.0","4.12","0.0"
"2019-08-01 03:45","26.31","0.0","0.0","25.25","0.0","0.312","0.0"
"2019-08-01 04:00","26.96","0.0","0.0","25.51","0.0","0.342","0.0"
"2019-08-01 04:15","28.28","0.0","0.0","24.96","1.53","2.58","0.0"
"2019-08-01 04:30","30.81","0.0","0.0","28.7","1.35","0.521","0.0"
"2019-08-01 04:45","27.13","0.0","0.0","24.13","0.0","3.57","0.0"
"2019-08-01 05:00","20.97","0.0","0.0","20.02","0.0","0.296","0.0"
"2019-08-01 05:15","29.19","0.0","0.0","26.25","0.0","3.24","0.0"
"2019-08-01 05:30","26.14","0.0","0.0","25.08","0.0","0.297","0.0"
"2019-08-01 05:45","20.48","0.0","0.0","17.8","0.0","3.68","0.0"
"2019-08-01 06:00","16.7","0.0","0.0","15.84","0.0","0.088","0.0"
"2019-08-01 06:15","13.25","0.0","0.0","11.43","0.0","2.01","0.0"
"2019-08-01 06:30","23.45","0.0","0.0","21.4","0.0","1.97","0.0"
"2019-08-01 06:45","13.25","0.0","1.2","11.58","0.0","0.115","0.0"
"2019-08-01 07:00","24.43","0.0","6.55","11.3","5.12","3.7","0.0"
"2019-08-01 07:15","45.87","0.0","8.37","15.22","7.21","0.526","0.0"
"2019-08-01 07:30","53.81","0.0","11.37","11.58","7.32","3.48","0.0"
"2019-08-01 07:45","49.4","0.0","11.24","12.02","7.52","0.521","0.0"
"2019-08-01 08:00","55.08","0.0","11.67","17.86","7.51","3.79","0.0"
"2019-08-01 08:15","78.73","0.0","11.48","14.9","5.31","0.519","0.0"
"2019-08-01 08:30","78.7","0.0","11.42","15.44","6.67","1.77","36.01"
"2019-08-01 08:45","106.17","0.0","11.58","9.97","4.85","2.14","42.68"
"2019-08-01 09:00","86.75","0.0","11.77","11.71","3.97","0.024","42.53"
"2019-08-01 09:15","79.89","0.0","11.69","9.48","5.35","3.62","42.55"
"2019-08-01 09:30","91.6","0.0","11.64","13.41","4.94","0.317","42.58"
"2019-08-01 09:45","104.21","0.0","11.73","10.74","6.42","3.23","42.7"
"2019-08-01 10:00","115.6","0.0","11.39","10.92","4.44","0.274","42.77"
"2019-08-01 10:15","93.12","0.0","11.7","10.15","4.4","3.04","42.59"
"2019-08-01 10:30","95.14","0.0","11.47","12.32","5.98","1.25","42.6"
"2019-08-01 10:45","131.42","0.0","11.55","9.67","4.67","0.312","42.94"
"2019-08-01 11:00","113.86","0.0","11.23","15.46","5.8","3.54","42.5"
"2019-08-01 11:15","109.08","0.0","11.27","8.94","4.16","0.295","42.62"
"2019-08-01 11:30","123.63","0.0","11.33","14.96","9.48","2.88","42.63"
"2019-08-01 11:45","108.83","0.0","11.46","11.27","6.1","0.311","42.73"
"2019-08-01 12:00","130.94","0.0","11.71","15.82","5.91","2.9","42.68"
"2019-08-01 12:15","110.81","0.0","11.74","8.27","6.44","0.072","42.73"
"2019-08-01 12:30","132.3","0.0","11.72","17.9","6.78","3.25","42.49"
"2019-08-01 12:45","102.67","0.0","11.76","10.33","6.72","0.516","42.5"
"2019-08-01 13:00","189.27","32.46","11.68","13.38","5.3","3.64","42.52"
"2019-08-01 13:15","222.74","52.35","11.82","10.11","5.36","0.058","42.78"
"2019-08-01 13:30","198.94","26.4","11.77","10.86","5.26","1.94","42.79"
"2019-08-01 13:45","202.58","28.94","11.92","20.0","4.96","0.314","42.59"
"2019-08-01 14:00","221.34","33.47","11.92","17.46","4.49","2.04","42.35"
"2019-08-01 14:15","204.46","47.18","11.55","10.31","6.16","2.36","42.44"
"2019-08-01 14:30","196.25","32.29","11.57","19.76","5.71","0.652","42.54"
"2019-08-01 14:45","187.94","37.61","11.92","17.7","6.2","2.47","42.46"
"2019-08-01 15:00","204.67","62.21","11.63","21.16","5.53","0.524","42.44"
"2019-08-01 15:15","199.4","32.52","11.79","13.7","4.67","2.44","42.48"
"2019-08-01 15:30","167.83","19.37","11.76","25.6","4.47","0.0","42.47"
"2019-08-01 15:45","221.49","59.26","12.25","12.6","5.53","2.61","42.66"
"2019-08-01 16:00","163.02","11.26","11.55","19.16","5.92","0.471","42.8"
"2019-08-01 16:15","175.43","22.46","11.49","12.19","5.77","2.91","42.83"
"2019-08-01 16:30","184.01","17.61","11.55","11.28","7.71","0.469","42.87"
"2019-08-01 16:45","192.46","39.47","11.72","18.62","5.5","3.41","42.66"
"2019-08-01 17:00","169.96","41.85","11.74","9.09","4.6","0.47","42.76"
"2019-08-01 17:15","197.94","52.34","11.54","12.02","3.77","1.77","42.73"
"2019-08-01 17:30","94.86","0.0","11.43","13.18","4.37","1.74","42.73"
"2019-08-01 17:45","90.83","0.0","12.06","9.63","4.97","0.412","42.8"
"2019-08-01 18:00","111.57","0.0","11.22","17.69","4.16","2.95","42.88"
"2019-08-01 18:15","197.1","55.89","11.04","12.55","4.71","0.475","42.76"
"2019-08-01 18:30","220.78","35.05","10.9","18.43","4.71","2.4","42.79"
"2019-08-01 18:45","202.93","56.48","10.85","11.8","4.71","0.54","43.02"
"2019-08-01 19:00","124.87","15.87","10.82","13.18","4.17","2.54","43.21"
"2019-08-01 19:15","218.37","59.08","11.12","21.52","4.91","1.26","43.05"
"2019-08-01 19:30","183.27","42.11","11.2","12.81","4.01","1.77","43.11"
"2019-08-01 19:45","190.92","41.39","11.19","12.97","5.27","1.77","43.27"
"2019-08-01 20:00","141.52","26.81","10.95","10.61","5.23","2.14","43.5"
"2019-08-01 20:15","150.56","44.06","11.04","26.79","4.78","0.483","22.81"
"2019-08-01 20:30","43.65","0.0","10.75","24.17","1.52","2.79","0.0"
"2019-08-01 20:45","26.62","0.0","10.59","16.45","0.998","0.483","0.0"
"2019-08-01 21:00","20.99","0.0","10.2","9.32","0.0","3.22","0.0"
"2019-08-01 21:15","19.57","0.0","5.36","14.85","0.0","0.361","0.0"
"2019-08-01 21:30","7.45","0.0","0.0","5.77","0.0","2.69","0.0"
"2019-08-01 21:45","16.78","0.0","0.0","15.96","0.0","0.352","0.0"
"2019-08-01 22:00","7.99","0.0","0.0","5.75","0.0","3.55","0.0"
"2019-08-01 22:15","13.07","0.0","0.0","12.39","0.0","0.327","0.0"
"2019-08-01 22:30","11.08","0.0","0.0","8.91","0.0","3.13","0.0"
"2019-08-01 22:45","11.12","0.0","0.0","10.39","0.0","0.334","0.0"
"2019-08-01 23:00","7.6","0.0","0.0","5.93","0.0","2.35","0.0"
"2019-08-01 23:15","9.08","0.0","0.0","8.24","0.0","0.809","0.0"
"2019-08-01 23:30","11.53","0.0","0.0","9.69","0.0","1.93","0.0"
"2019-08-01 23:45","6.38","0.0","0.0","5.45","0.0","1.79","0.0"
"2019-08-02 00:00","12.46","0.0","0.0","11.52","0.0","0.849","0.0"
"2019-08-02 00:15","9.07","0.0","0.0","7.33","0.0","2.46","0.0"
"2019-08-02 00:30","12.01","0.0","0.0","10.85","0.0","1.27","0.0"
"2019-08-02 00:45","7.54","0.0","0.0","5.3","0.0","3.27","0.0"
"2019-08-02 01:00","7.98","0.0","0.0","7.5","0.0","0.358","0.0"
"2019-08-02 01:15","12.61","0.0","0.0","10.34","0.0","3.12","0.0"
"2019-08-02 01:30","6.0","0.0","0.0","5.64","0.0","0.351","0.0"
"2019-08-02 01:45","12.14","0.0","0.0","9.89","0.0","3.17","0.0"
"2019-08-02 02:00","11.4","0.0","0.0","9.91","3.06","0.337","0.0"
"2019-08-02 02:15","17.2","0.0","0.0","15.23","0.0","2.38","0.0"
"2019-08-02 02:30","16.2","0.0","0.0","15.3","0.484","0.091","0.0"
"2019-08-02 02:45","13.71","0.0","0.0","11.14","0.507","3.84","0.0"
"2019-08-02 03:00","11.64","0.0","0.0","10.07","2.77","0.188","0.0"
"2019-08-02 03:15","11.33","0.0","0.0","8.49","2.6","2.44","0.0"
"2019-08-02 03:30","6.64","0.0","0.0","5.79","1.02","0.346","0.0"
"2019-08-02 03:45","14.15","0.0","0.0","11.95","0.0","3.13","0.0"
"2019-08-02 04:00","7.43","0.0","0.0","6.5","0.983","0.164","0.0"
"2019-08-02 04:15","12.75","0.0","0.0","10.05","2.06","2.83","0.0"
"2019-08-02 04:30","8.63","0.0","0.0","8.08","0.0","0.521","0.0"
"2019-08-02 04:45","13.01","0.0","0.0","10.57","0.0","3.58","0.0"
"2019-08-02 05:00","5.05","0.0","0.0","4.7","0.0","0.324","0.0"
"2019-08-02 05:15","12.28","0.0","0.0","10.09","0.0","3.07","0.0"
"2019-08-02 05:30","7.18","0.0","0.0","6.84","0.0","0.345","0.0"
"2019-08-02 05:45","7.03","0.0","0.0","5.0","0.0","3.26","0.0"
"2019-08-02 06:00","11.87","0.0","0.0","11.35","0.0","0.348","0.0"
"2019-08-02 06:15","10.17","0.0","0.0","7.9","0.0","3.68","0.0"
"2019-08-02 06:30","10.39","0.0","0.0","9.69","0.0","0.425","0.0"
"2019-08-02 06:45","30.32","0.0","5.29","7.81","5.26","2.93","0.0"
"2019-08-02 07:00","83.39","0.0","7.62","12.73","11.2","0.689","0.0"
"2019-08-02 07:15","57.15","0.0","11.97","17.86","6.87","0.731","0.0"
"2019-08-02 07:30","59.31","0.0","12.02","17.93","3.5","2.64","0.0"
"2019-08-02 07:45","72.97","0.0","11.81","8.83","4.94","0.513","27.49"
"2019-08-02 08:00","140.72","0.0","11.83","4.4","4.96","3.09","42.75"
"2019-08-02 08:15","129.72","0.0","11.84","4.86","5.16","0.324","42.57"
"2019-08-02 08:30","147.33","0.0","11.76","5.84","6.34","3.11","42.57"
"2019-08-02 08:45","120.87","0.0","11.31","4.99","7.12","0.527","42.52"
"2019-08-02 09:00","114.84","0.0","11.53","4.51","4.44","3.45","42.65"
"2019-08-02 09:15","119.53","0.0","11.82","4.4","5.05","0.323","42.74"
"2019-08-02 09:30","138.14","0.0","11.7","4.75","4.89","3.46","42.68"
"2019-08-02 09:45","112.2","0.0","11.67","4.42","3.78","0.337","42.82"
"2019-08-02 10:00","117.95","0.0","11.5","5.42","4.45","2.66","42.61"
"2019-08-02 10:15","112.52","0.0","11.15","6.25","5.15","1.31","42.64"
"2019-08-02 10:30","105.81","0.0","11.21","12.91","5.27","0.522","42.76"
"2019-08-02 10:45","121.06","0.0","11.34","18.78","4.57","3.01","42.35"
"2019-08-02 11:00","104.76","0.0","11.31","20.99","5.77","0.526","42.24"
"2019-08-02 11:15","103.88","0.0","11.21","18.52","6.27","3.54","42.44"
"2019-08-02 11:30","125.93","0.0","10.98","22.64","4.73","0.327","42.57"
"2019-08-02 11:45","205.55","27.91","11.56","25.14","5.15","2.78","42.73"
"2019-08-02 12:00","141.38","5.65","11.64","21.0","3.77","0.525","42.65"
"2019-08-02 12:15","124.31","0.0","11.12","19.37","10.0","3.24","42.28"
"2019-08-02 12:30","158.32","16.76","11.09","21.28","5.44","0.52","42.47"
"2019-08-02 12:45","195.51","0.0","11.48","19.26","6.07","3.51","42.34"
"2019-08-02 13:00","215.35","5.27","11.34","20.6","5.37","0.516","42.44"
"2019-08-02 13:15","216.69","15.22","11.43","39.57","4.95","3.12","42.31"
"2019-08-02 13:30","190.9","16.25","11.01","36.72","5.31","0.284","42.46"
"2019-08-02 13:45","226.55","20.87","11.53","35.43","5.17","1.45","42.55"
"2019-08-02 14:00","248.55","47.08","11.42","38.42","4.37","1.79","42.56"
"2019-08-02 14:15","181.83","10.71","11.61","40.31","5.21","0.961","42.71"
"2019-08-02 14:30","242.95","42.89","11.19","40.36","5.95","2.26","42.56"
"2019-08-02 14:45","246.1","47.06","10.99","38.36","5.31","0.524","42.44"
"2019-08-02 15:00","250.22","42.96","11.33","29.69","4.95","3.09","42.38"
"2019-08-02 15:15","238.89","27.52","11.14","39.6","5.56","0.05","42.22"
"2019-08-02 15:30","255.68","50.12","11.07","35.29","5.38","3.41","42.02"
"2019-08-02 15:45","225.54","42.33","11.04","36.55","5.16","0.519","41.96"
"2019-08-02 16:00","267.06","62.68","11.16","29.62","4.8","2.94","41.99"
"2019-08-02 16:15","215.89","41.16","11.27","37.81","4.38","0.521","41.99"
"2019-08-02 16:30","193.22","16.57","11.16","32.94","5.31","2.23","41.77"
"2019-08-02 16:45","251.16","38.51","10.98","39.23","7.04","0.486","42.09"
"2019-08-02 17:00","218.32","61.04","11.35","30.88","6.46","2.42","41.92"
"2019-08-02 17:15","200.26","26.22","11.06","39.84","5.33","0.531","42.1"
