"Time stamp","Interruptor Principal   (A)","Lavaloza   (A)","Tablero A   (A)","Tablero B   (A)","Tablero C   (A)","Tablero D   (A)","Tablero E   (A)"
"2018-05-01 00:00","27.45","0.0","0.0","23.79","2.51","2.14","0.0"
"2018-05-01 00:15","24.11","0.0","0.0","20.89","2.61","1.53","0.0"
"2018-05-01 00:30","27.83","0.0","0.0","24.98","2.49","1.21","0.0"
"2018-05-01 00:45","23.48","0.0","0.0","20.36","2.65","1.34","0.0"
"2018-05-01 01:00","33.37","0.0","0.0","29.71","2.48","1.82","0.0"
"2018-05-01 01:15","22.77","0.0","0.0","19.5","2.47","2.12","0.0"
"2018-05-01 01:30","30.0","0.0","0.0","26.55","2.45","2.11","0.0"
"2018-05-01 01:45","32.96","0.0","0.0","28.85","2.25","1.78","0.0"
"2018-05-01 02:00","37.65","0.0","0.0","33.53","2.39","1.23","0.0"
"2018-05-01 02:15","38.68","0.0","0.0","34.46","2.51","1.21","0.0"
"2018-05-01 02:30","39.15","0.0","0.0","34.73","2.07","1.77","0.0"
"2018-05-01 02:45","31.41","0.0","0.0","27.28","2.04","2.1","0.0"
"2018-05-01 03:00","28.11","0.0","0.0","24.43","2.69","2.1","0.0"
"2018-05-01 03:15","26.12","0.0","0.0","22.68","2.57","2.1","0.0"
"2018-05-01 03:30","27.03","0.0","0.0","24.26","2.39","1.22","0.0"
"2018-05-01 03:45","25.38","0.0","0.0","22.46","2.66","1.2","0.0"
"2018-05-01 04:00","29.52","0.0","0.0","25.97","2.64","1.78","0.0"
"2018-05-01 04:15","24.14","0.0","0.0","21.02","2.57","1.92","0.0"
"2018-05-01 04:30","29.42","0.0","0.0","25.59","1.98","2.09","0.0"
"2018-05-01 04:45","32.66","0.0","0.0","28.6","2.13","1.49","0.0"
"2018-05-01 05:00","35.41","0.0","0.0","31.29","2.35","0.898","0.0"
"2018-05-01 05:15","32.66","0.0","0.0","28.55","2.49","1.46","0.0"
"2018-05-01 05:30","29.37","0.0","0.0","25.38","2.18","2.07","0.0"
"2018-05-01 05:45","30.68","0.0","0.0","27.05","2.52","2.1","0.0"
"2018-05-01 06:00","25.44","0.0","0.0","22.06","2.64","1.5","0.0"
"2018-05-01 06:15","28.52","0.0","0.0","25.45","2.63","0.901","0.0"
"2018-05-01 06:30","22.15","0.0","0.0","19.12","2.37","1.47","0.0"
"2018-05-01 06:45","30.66","0.0","0.0","27.06","2.56","2.09","0.0"
"2018-05-01 07:00","25.69","0.0","0.0","22.54","2.43","2.07","0.0"
"2018-05-01 07:15","23.9","0.0","0.0","20.59","2.03","1.21","0.0"
"2018-05-01 07:30","37.04","0.0","0.0","33.14","2.28","0.864","0.0"
"2018-05-01 07:45","38.2","0.0","0.0","33.74","2.38","2.1","0.0"
"2018-05-01 08:00","35.36","0.0","0.0","30.77","2.5","1.79","0.0"
