"Time stamp","Interruptor Principal   (A)","Lavaloza   (A)","Tablero A   (A)","Tablero B   (A)","Tablero C   (A)","Tablero D   (A)","Tablero E   (A)"
"2019-04-01 00:00","22.32","0.0","0.0","15.68","1.88","3.94","2.05"
"2019-04-01 00:15","11.98","0.0","0.0","6.5","1.83","3.12","2.01"
"2019-04-01 00:30","15.32","0.0","0.0","9.59","1.85","2.32","1.99"
"2019-04-01 00:45","17.0","0.0","0.0","10.87","1.95","3.5","2.05"
"2019-04-01 01:00","12.18","0.0","0.0","6.21","1.85","3.85","2.06"
"2019-04-01 01:15","17.8","0.0","0.0","11.63","1.83","3.48","2.06"
"2019-04-01 01:30","11.65","0.0","0.0","6.23","1.93","2.67","2.07"
"2019-04-01 01:45","21.86","0.0","0.0","14.67","3.11","2.69","2.15"
"2019-04-01 02:00","17.85","0.0","0.0","11.36","2.83","3.06","2.16"
"2019-04-01 02:15","15.97","0.0","0.0","9.91","1.98","3.44","2.09"
"2019-04-01 02:30","22.87","0.0","0.0","16.5","1.83","3.44","1.81"
"2019-04-01 02:45","21.55","0.0","0.0","15.17","1.85","3.47","2.16"
"2019-04-01 03:00","11.77","0.0","0.0","6.32","1.95","2.69","1.98"
"2019-04-01 03:15","19.22","0.0","0.0","13.5","1.82","2.67","2.17"
"2019-04-01 03:30","14.13","0.0","0.0","8.62","1.86","2.31","2.14"
"2019-04-01 03:45","17.65","0.0","0.0","11.8","1.94","3.07","1.92"
"2019-04-01 04:00","11.41","0.0","0.0","5.73","1.85","3.09","1.99"
"2019-04-01 04:15","17.34","0.0","0.0","11.35","1.84","3.46","2.11"
"2019-04-01 04:30","13.92","0.0","0.0","7.99","1.92","3.07","2.19"
"2019-04-01 04:45","18.34","0.0","0.0","12.26","1.85","3.11","2.17"
"2019-04-01 05:00","12.46","0.0","0.0","6.96","1.85","2.69","2.03"
"2019-04-01 05:15","16.67","0.0","0.0","10.89","1.91","2.33","2.15"
"2019-04-01 05:30","13.3","0.0","0.0","7.75","1.92","2.32","1.86"
"2019-04-01 05:45","16.71","0.0","0.0","11.08","1.87","2.31","1.95"
"2019-04-01 06:00","10.96","0.0","0.0","5.6","1.88","2.67","2.19"
"2019-04-01 06:15","16.32","0.0","0.0","10.66","1.9","2.7","2.07"
"2019-04-01 06:30","16.13","0.0","0.0","10.5","1.83","2.52","2.1"
"2019-04-01 06:45","11.38","0.0","0.0","6.15","1.84","2.67","1.92"
"2019-04-01 07:00","17.63","0.0","1.33","11.0","1.85","2.31","2.19"
"2019-04-01 07:15","44.51","0.0","7.08","10.44","7.33","2.69","2.17"
"2019-04-01 07:30","50.13","0.0","8.53","13.21","4.95","2.34","2.13"
"2019-04-01 07:45","69.64","0.0","11.27","9.18","7.21","3.14","2.16"
"2019-04-01 08:00","70.03","0.0","11.34","12.45","6.97","3.22","1.95"
"2019-04-01 08:15","71.23","0.0","11.21","12.67","7.77","3.24","2.16"
"2019-04-01 08:30","72.81","0.0","11.13","18.34","5.16","3.28","2.24"
"2019-04-01 08:45","72.82","0.0","11.24","19.05","4.73","3.32","1.94"
"2019-04-01 09:00","63.36","0.0","10.94","12.67","5.14","3.29","2.13"
"2019-04-01 09:15","65.28","0.0","12.45","17.37","3.95","2.9","2.23"
"2019-04-01 09:30","63.05","0.0","12.71","16.44","3.91","2.9","2.09"
"2019-04-01 09:45","81.39","0.0","12.17","17.37","3.39","2.9","2.11"
"2019-04-01 10:00","94.88","0.0","12.34","17.6","4.78","3.35","2.23"
"2019-04-01 10:15","65.93","0.0","12.14","16.13","4.54","3.77","2.04"
"2019-04-01 10:30","154.79","28.48","12.05","15.77","6.07","3.8","55.22"
"2019-04-01 10:45","107.21","0.0","12.26","11.17","4.27","3.34","50.35"
"2019-04-01 11:00","84.68","0.0","12.28","9.51","4.9","2.93","45.01"
"2019-04-01 11:15","108.95","0.0","12.46","17.37","6.85","2.72","45.06"
"2019-04-01 11:30","122.94","15.86","12.35","7.23","5.49","3.3","39.8"
"2019-04-01 11:45","115.18","9.86","12.29","17.59","3.68","3.81","37.42"
"2019-04-01 12:00","134.82","0.0","12.31","17.74","6.48","3.84","44.42"
"2019-04-01 12:15","184.85","22.96","12.52","16.71","4.75","3.0","51.53"
"2019-04-01 12:30","126.61","0.0","12.44","16.66","5.83","3.4","57.89"
"2019-04-01 12:45","155.05","0.0","12.17","16.44","4.69","4.29","52.8"
"2019-04-01 13:00","170.82","17.19","12.32","16.08","5.08","4.3","60.38"
"2019-04-01 13:15","162.53","5.24","12.28","7.91","5.27","3.03","60.39"
"2019-04-01 13:30","230.94","27.17","12.21","13.91","5.59","4.31","60.43"
"2019-04-01 13:45","220.57","37.61","12.23","17.38","4.87","4.67","54.19"
"2019-04-01 14:00","218.29","41.58","12.12","14.59","4.28","3.08","52.84"
"2019-04-01 14:15","259.98","69.22","12.04","14.9","5.53","4.81","60.17"
"2019-04-01 14:30","205.39","30.91","11.92","22.23","5.32","4.07","60.18"
"2019-04-01 14:45","243.24","44.29","12.15","19.74","5.83","3.58","44.83"
"2019-04-01 15:00","255.79","74.11","12.47","20.0","5.68","5.0","40.64"
"2019-04-01 15:15","224.58","51.92","12.41","18.72","7.84","4.06","42.23"
"2019-04-01 15:30","208.41","0.0","12.46","16.45","7.11","4.51","51.78"
"2019-04-01 15:45","226.58","42.81","12.31","20.48","4.11","4.47","52.36"
"2019-04-01 16:00","223.11","38.45","11.96","12.07","4.75","4.0","52.83"
"2019-04-01 16:15","239.01","72.14","12.0","22.18","5.42","4.98","46.16"
"2019-04-01 16:30","158.66","22.81","11.94","10.4","5.24","3.08","44.7"
"2019-04-01 16:45","204.25","27.29","11.85","17.58","5.18","4.9","48.93"
"2019-04-01 17:00","122.49","0.0","11.26","10.92","4.76","3.96","54.34"
"2019-04-01 17:15","110.16","0.0","11.04","13.86","5.11","3.85","52.99"
"2019-04-01 17:30","128.97","5.76","11.12","12.8","4.72","4.82","48.14"
"2019-04-01 17:45","165.24","17.37","11.25","14.09","3.77","3.06","42.57"
"2019-04-01 18:00","142.43","21.38","11.21","14.83","4.23","3.46","48.65"
"2019-04-01 18:15","238.02","66.34","11.16","14.55","5.26","4.86","52.34"
"2019-04-01 18:30","235.08","78.61","11.25","11.76","7.94","3.95","52.13"
"2019-04-01 18:45","183.32","36.25","10.9","14.59","9.13","3.42","43.29"
"2019-04-01 19:00","242.18","64.51","11.03","13.52","9.88","4.39","41.73"
"2019-04-01 19:15","198.96","54.35","11.11","13.38","9.3","4.34","52.18"
"2019-04-01 19:30","174.64","38.67","11.18","10.11","3.66","2.59","51.1"
"2019-04-01 19:45","179.95","59.48","11.16","10.04","3.82","4.63","47.97"
"2019-04-01 20:00","123.27","19.3","11.15","11.78","3.5","4.0","43.48"
"2019-04-01 20:15","82.97","0.0","11.17","11.2","3.64","3.3","48.2"
"2019-04-01 20:30","100.49","0.0","11.12","29.14","2.79","4.63","56.28"
"2019-04-01 20:45","50.79","0.0","2.78","30.7","2.34","3.8","10.52"
"2019-04-01 21:00","31.01","0.0","0.0","23.91","2.08","3.76","1.93"
"2019-04-01 21:15","37.47","0.0","0.0","29.62","2.06","4.62","2.08"
"2019-04-01 21:30","27.82","0.0","0.0","21.1","2.3","3.35","2.07"
"2019-04-01 21:45","36.9","0.0","0.0","29.84","2.0","3.69","2.22"
"2019-04-01 22:00","27.19","0.0","0.0","19.74","2.13","4.12","2.07"
"2019-04-01 22:15","32.15","0.0","0.0","25.46","2.04","3.27","2.08"
"2019-04-01 22:30","29.46","0.0","0.0","22.2","2.31","3.26","2.34"
"2019-04-01 22:45","32.81","0.0","0.0","25.47","2.05","4.11","2.22"
"2019-04-01 23:00","26.13","0.0","0.0","19.6","2.03","3.67","2.08"
"2019-04-01 23:15","31.18","0.0","0.0","24.21","2.12","3.13","1.99"
"2019-04-01 23:30","34.2","0.0","0.0","26.97","2.02","4.06","2.17"
"2019-04-01 23:45","27.05","0.0","0.0","19.71","2.31","4.03","1.99"
"2019-04-02 00:00","32.72","0.0","0.0","26.11","2.03","2.47","2.07"
"2019-04-02 00:15","28.65","0.0","0.0","21.59","2.03","3.61","1.83"
"2019-04-02 00:30","32.05","0.0","0.0","24.57","2.11","4.06","2.19"
"2019-04-02 00:45","27.0","0.0","0.0","20.24","2.23","3.22","2.13"
"2019-04-02 01:00","30.65","0.0","0.0","23.56","2.14","2.78","1.97"
"2019-04-02 01:15","33.9","0.0","0.0","26.78","2.03","4.02","2.26"
"2019-04-02 01:30","29.76","0.0","0.0","22.56","2.06","4.21","2.09"
"2019-04-02 01:45","33.62","0.0","0.0","26.61","2.36","2.79","1.97"
"2019-04-02 02:00","30.41","0.0","0.0","23.75","2.02","3.17","1.99"
"2019-04-02 02:15","32.3","0.0","0.0","24.92","2.1","3.94","2.22"
"2019-04-02 02:30","37.85","0.0","0.0","30.22","2.34","3.63","2.08"
"2019-04-02 02:45","34.87","0.0","0.0","28.19","2.04","2.61","2.11"
"2019-04-02 03:00","27.61","0.0","0.0","20.78","2.11","2.8","2.12"
"2019-04-02 03:15","36.42","0.0","0.0","29.34","2.1","3.95","2.02"
"2019-04-02 03:30","27.91","0.0","0.0","20.62","2.23","3.58","2.01"
"2019-04-02 03:45","32.84","0.0","0.0","26.0","2.12","3.16","2.17"
"2019-04-02 04:00","28.62","0.0","0.0","21.99","2.06","2.74","1.96"
"2019-04-02 04:15","31.75","0.0","0.0","25.03","2.03","3.16","2.16"
"2019-04-02 04:30","26.41","0.0","0.0","19.05","2.29","3.58","2.16"
"2019-04-02 04:45","33.76","0.0","0.0","26.46","2.1","3.74","2.05"
"2019-04-02 05:00","28.3","0.0","0.0","21.61","2.01","2.99","2.26"
"2019-04-02 05:15","32.16","0.0","0.0","25.39","2.13","2.4","2.25"
"2019-04-02 05:30","26.71","0.0","0.0","20.26","2.16","2.8","2.2"
"2019-04-02 05:45","34.68","0.0","0.0","27.41","2.22","3.55","1.95"
"2019-04-02 06:00","26.75","0.0","0.0","19.74","2.09","3.17","2.06"
"2019-04-02 06:15","30.79","0.0","0.0","23.53","2.1","3.38","2.11"
"2019-04-02 06:30","28.92","0.0","0.0","22.26","2.11","2.58","1.83"
"2019-04-02 06:45","26.5","0.0","0.0","19.81","2.22","2.58","1.93"
"2019-04-02 07:00","32.2","0.0","0.0","25.51","2.08","2.39","1.92"
"2019-04-02 07:15","46.38","0.0","7.48","23.2","2.61","2.78","2.1"
"2019-04-02 07:30","77.93","0.0","11.75","30.59","6.8","3.44","2.13"
"2019-04-02 07:45","67.11","0.0","11.63","24.73","7.89","3.66","2.15"
"2019-04-02 08:00","63.57","0.0","11.54","24.65","4.52","3.28","2.23"
"2019-04-02 08:15","120.16","23.06","11.43","25.52","6.0","2.48","2.16"
"2019-04-02 08:30","79.59","0.0","11.44","32.53","4.84","3.31","2.1"
"2019-04-02 08:45","72.21","0.0","11.3","30.47","4.11","4.17","1.98"
"2019-04-02 09:00","70.3","0.0","11.38","25.54","6.01","3.98","2.04"
"2019-04-02 09:15","72.97","5.76","12.16","18.23","4.95","2.51","1.94"
"2019-04-02 09:30","76.68","0.0","12.12","17.87","4.21","3.7","2.09"
"2019-04-02 09:45","72.02","0.0","12.01","9.58","4.04","4.16","2.19"
"2019-04-02 10:00","111.91","5.79","12.22","15.03","6.87","3.72","2.27"
"2019-04-02 10:15","73.28","0.0","12.1","10.23","4.95","2.91","10.71"
"2019-04-02 10:30","153.61","0.0","11.9","16.62","4.21","4.09","94.27"
"2019-04-02 10:45","118.67","0.0","11.97","9.36","5.25","3.94","59.1"
"2019-04-02 11:00","124.82","0.0","11.9","16.16","5.69","2.92","54.36"
"2019-04-02 11:15","122.41","0.0","12.0","12.12","3.77","2.51","59.48"
"2019-04-02 11:30","130.81","0.0","12.0","12.25","3.86","3.71","61.87"
"2019-04-02 11:45","135.36","0.0","12.48","19.44","3.81","4.15","61.01"
"2019-04-02 12:00","147.17","0.0","12.34","9.79","2.97","24.16","76.06"
"2019-04-02 12:15","180.36","0.0","12.13","14.5","2.69","29.42","100.43"
"2019-04-02 12:30","244.88","17.04","12.24","12.5","4.24","30.05","106.64"
