"Time stamp","Interruptor Principal   (A)","Lavaloza   (A)","Tablero A   (A)","Tablero B   (A)","Tablero C   (A)","Tablero D   (A)","Tablero E   (A)"
"2018-10-01 00:00","34.87","0.0","0.0","26.83","1.71","4.63","2.95"
"2018-10-01 00:15","27.77","0.0","0.0","19.86","1.78","4.59","2.79"
"2018-10-01 00:30","31.87","0.0","0.0","23.59","2.06","4.57","2.6"
"2018-10-01 00:45","31.76","0.0","0.0","23.93","1.75","4.6","2.98"
"2018-10-01 01:00","36.72","0.0","0.0","28.41","1.76","4.56","2.93"
"2018-10-01 01:15","36.84","0.0","0.0","28.58","1.99","4.58","2.91"
"2018-10-01 01:30","28.92","0.0","0.0","21.05","1.74","4.57","2.95"
"2018-10-01 01:45","32.91","0.0","0.0","24.79","1.8","4.58","3.02"
"2018-10-01 02:00","22.78","0.0","0.0","15.31","1.74","4.32","1.9"
"2018-10-01 02:15","33.31","0.0","0.0","25.45","1.94","4.1","3.03"
"2018-10-01 02:30","29.15","0.0","0.0","21.57","1.8","4.04","3.02"
"2018-10-01 02:45","35.2","0.0","0.0","27.36","1.8","4.12","2.93"
"2018-10-01 03:00","26.54","0.0","0.0","18.68","1.92","4.24","2.91"
"2018-10-01 03:15","32.3","0.0","0.0","24.08","1.83","4.63","2.94"
"2018-10-01 03:30","30.19","0.0","0.0","22.18","1.82","4.56","3.03"
"2018-10-01 03:45","32.05","0.0","0.0","23.88","1.92","4.56","3.01"
"2018-10-01 04:00","26.96","0.0","0.0","19.03","1.7","4.55","2.93"
"2018-10-01 04:15","34.68","0.0","0.0","26.47","1.83","4.56","2.92"
"2018-10-01 04:30","28.11","0.0","0.0","20.08","1.96","4.52","2.96"
"2018-10-01 04:45","28.75","0.0","0.0","21.18","1.73","3.99","2.91"
"2018-10-01 05:00","32.16","0.0","0.0","24.63","1.78","4.0","2.92"
"2018-10-01 05:15","30.02","0.0","0.0","22.48","1.95","3.86","3.04"
"2018-10-01 05:30","34.39","0.0","0.0","26.58","1.74","4.46","2.82"
"2018-10-01 05:45","26.23","0.0","0.0","18.25","1.91","4.56","2.99"
"2018-10-01 06:00","35.47","0.0","0.0","27.2","1.78","4.55","3.0"
"2018-10-01 06:15","27.32","0.0","0.0","19.54","1.8","4.55","3.05"
"2018-10-01 06:30","31.17","0.0","0.0","23.23","1.62","4.53","2.94"
"2018-10-01 06:45","31.9","0.0","0.0","23.9","1.95","4.05","2.34"
"2018-10-01 07:00","36.24","0.0","0.0","28.42","1.81","3.81","2.94"
"2018-10-01 07:15","36.36","0.0","0.0","28.67","1.79","3.84","2.88"
"2018-10-01 07:30","29.01","0.0","0.0","21.34","1.65","4.58","2.94"
"2018-10-01 07:45","37.73","0.0","0.0","29.56","1.96","4.54","2.92"
"2018-10-01 08:00","28.18","0.0","0.0","20.59","1.71","4.53","2.9"
"2018-10-01 08:15","34.95","0.0","0.0","26.88","1.78","4.55","1.83"
"2018-10-01 08:30","26.77","0.0","0.0","18.93","1.91","4.34","2.94"
"2018-10-01 08:45","33.59","0.0","0.0","25.9","1.71","3.88","2.94"
"2018-10-01 09:00","32.4","0.0","3.5","21.2","1.96","3.79","2.97"
"2018-10-01 09:15","85.29","21.77","6.5","24.49","5.28","4.25","3.04"
"2018-10-01 09:30","116.9","26.7","6.51","22.91","5.66","4.57","2.94"
"2018-10-01 09:45","152.2","48.19","6.33","22.32","7.08","4.58","2.82"
"2018-10-01 10:00","146.77","5.51","7.04","15.69","5.41","4.55","3.04"
"2018-10-01 10:15","63.41","0.0","7.08","13.77","4.73","4.56","2.9"
"2018-10-01 10:30","142.03","5.59","6.91","8.85","4.94","4.56","2.99"
"2018-10-01 10:45","66.72","0.0","7.19","16.97","3.82","4.07","3.04"
"2018-10-01 11:00","68.31","0.0","7.5","8.26","4.19","3.99","2.82"
"2018-10-01 11:15","69.68","0.0","6.99","13.08","3.85","4.01","3.03"
"2018-10-01 11:30","56.25","5.75","7.49","11.16","4.57","4.18","2.89"
"2018-10-01 11:45","116.44","5.67","8.08","12.12","3.59","4.56","2.16"
"2018-10-01 12:00","59.38","0.0","7.92","13.71","3.5","4.49","5.12"
"2018-10-01 12:15","108.22","0.0","8.27","18.62","5.14","4.57","25.62"
"2018-10-01 12:30","104.3","5.66","9.36","13.4","6.83","4.54","25.59"
"2018-10-01 12:45","114.55","5.35","10.56","13.01","7.89","4.55","25.56"
"2018-10-01 13:00","166.59","22.38","12.13","18.82","4.66","13.62","40.74"
"2018-10-01 13:15","244.42","27.03","12.64","22.32","4.79","16.27","41.56"
"2018-10-01 13:30","260.59","37.74","12.6","22.64","5.4","16.22","41.52"
"2018-10-01 13:45","200.33","11.3","12.61","15.12","4.24","16.25","41.22"
"2018-10-01 14:00","249.78","21.68","12.44","17.5","5.05","16.19","41.2"
"2018-10-01 14:15","195.53","9.85","12.38","13.66","4.82","16.14","40.87"
"2018-10-01 14:30","226.12","32.16","12.96","15.3","4.74","16.27","29.7"
"2018-10-01 14:45","203.83","4.73","12.46","13.84","5.41","16.26","38.93"
"2018-10-01 15:00","308.73","25.57","12.64","19.31","5.24","16.36","39.81"
"2018-10-01 15:15","224.75","36.17","12.57","11.64","6.31","16.25","39.76"
"2018-10-01 15:30","236.74","58.08","12.53","17.9","5.95","15.95","39.73"
"2018-10-01 15:45","190.01","16.51","12.64","12.43","5.31","16.05","39.83"
"2018-10-01 16:00","250.45","5.64","12.64","13.0","5.81","16.31","40.02"
"2018-10-01 16:15","249.31","54.24","12.7","15.22","5.84","16.55","39.94"
"2018-10-01 16:30","220.15","28.77","13.13","14.66","4.84","16.7","40.14"
"2018-10-01 16:45","239.59","61.26","13.12","22.2","5.43","16.19","40.13"
"2018-10-01 17:00","205.73","54.53","12.71","16.01","4.68","16.51","40.16"
"2018-10-01 17:15","112.37","0.0","12.5","22.11","3.3","16.91","40.2"
"2018-10-01 17:30","104.99","0.0","12.46","13.28","4.0","16.55","40.26"
"2018-10-01 17:45","199.28","22.51","12.58","14.49","4.72","16.25","40.28"
"2018-10-01 18:00","190.72","47.76","12.13","6.58","5.35","16.33","40.33"
"2018-10-01 18:15","177.25","22.78","11.56","12.75","4.19","16.71","40.34"
"2018-10-01 18:30","217.09","49.75","11.5","13.37","4.73","16.6","40.4"
"2018-10-01 18:45","221.81","63.21","11.53","13.64","5.29","16.47","40.38"
"2018-10-01 19:00","182.54","11.19","11.79","18.36","4.38","16.24","40.41"
"2018-10-01 19:15","188.27","16.86","11.78","16.84","5.06","16.23","40.35"
"2018-10-01 19:30","143.87","10.92","11.61","15.47","4.32","16.23","40.29"
